"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"3728198","RIT","Meredith","Gettysburg, Pa.","09/01/2023 12:00 AM","0",14,13,21,NA,NA,25,25,25,NA,NA,"at Gettysburg, Pa."
"3728082","Centenary (LA)","Millsaps","Gold Dome (Shreveport, LA)","09/01/2023 01:00 AM","136",25,25,25,26,NA,20,23,27,24,NA,""
"3238902","Concordia (TX)","Schreiner","Mayborn Campus Center (Belton, TX)","09/01/2023 10:00 AM","55",22,12,26,NA,NA,25,25,28,NA,NA,"at Belton, TX"
"3238949","Texas-Dallas","Wis.-Oshkosh","Bell Center (San Antonio, TX)","09/01/2023 11:00 AM","187",20,16,19,NA,NA,25,25,25,NA,NA,"at San Antonio, TX"
"3238950","Cal Lutheran","Gustavus Adolphus","Kaiser Permanente Arena (Santa Cruz, CA)","09/01/2023 11:00 AM","50",25,25,23,18,NA,20,27,25,25,NA,"at Santa Cruz, CA"
"3238981","Brevard","Hanover","Cooper Athletic Center, Randy Lambert Court (Maryville, TN)","09/01/2023 11:00 AM","110",10,16,16,NA,NA,25,25,25,NA,NA,"at Maryville, TN"
"3239028","Pacific Lutheran","Saint Benedict","Tacoma, Wash. (UPS)","09/01/2023 11:00 AM","25",17,25,25,22,9,25,23,20,25,15,"at Tacoma, Wash. (UPS)"
"3238963","New Jersey City","Alvernia","John J. Moore Athletics & Fitness Center (Jersey City, NJ)","09/01/2023 11:00 AM","29",17,20,19,NA,NA,25,25,25,NA,NA,""
"3238951","Rhodes","Belhaven","Gold Dome (Shreveport, LA)","09/01/2023 11:00 AM","105",25,25,25,NA,NA,23,18,19,NA,NA,"at Shreveport, LA"
"3239013","Hollins","Waynesburg","E. Stuart James Grant Center (Danville, VA)","09/01/2023 12:00 PM","50",16,20,25,13,NA,25,25,21,25,NA,"at Danville, VA"
"3239027","Adrian","Eastern","Tacoma, Wash.","09/01/2023 12:00 PM","80",19,21,17,NA,NA,25,25,25,NA,NA,"at Tacoma, Wash."
"3238990","Mary Hardin-Baylor","Concordia-M'head","Mayborn Campus Center (Belton, TX)","09/01/2023 12:15 PM","130",25,25,25,NA,NA,17,15,18,NA,NA,""
"3238993","North Park","UW-River Falls","North Park Gymnasium (Chicago, IL)","09/01/2023 12:30 PM","0",25,25,16,23,15,18,18,25,25,7,""
"3239066","Alvernia","Hunter","John J. Moore Athletics & Fitness Center (Jersey City, NJ)","09/01/2023 01:00 PM","50",13,25,17,19,NA,25,23,25,25,NA,"at Jersey City, NJ"
"3239054","Babson","Framingham St.","Staake Gymnasium (Babson Park, MA)","09/01/2023 01:00 PM","105",25,25,25,NA,NA,8,13,22,NA,NA,""
"3239076","Plymouth St.","Neumann","TowneBank Arena at the Jane P. Batten Student Center (Virginia Beach, VA)","09/01/2023 01:00 PM","106",25,22,25,25,NA,18,25,20,22,NA,"at Virginia Beach, VA"
"3239018","Sewanee","Brevard","Cooper Athletic Center, Randy Lambert Court (Maryville, TN)","09/01/2023 01:00 PM","120",25,25,25,NA,NA,13,22,10,NA,NA,"at Maryville, TN"
"3239046","Va. Wesleyan","Thiel","TowneBank Arena at the Jane P. Batten Student Center (Virginia Beach, VA)","09/01/2023 01:00 PM","70",25,25,25,NA,NA,11,10,12,NA,NA,""
"3239026","Howard Payne","McMurry","Brownwood Coliseum (Brownwood, TX)","09/01/2023 01:00 PM","100",25,25,25,NA,NA,18,22,23,NA,NA,""
"3239033","Texas Lutheran","Birmingham-So.","Bell Center (San Antonio, TX)","09/01/2023 01:15 PM","125",25,25,25,NA,NA,21,19,15,NA,NA,"at San Antonio, TX"
"3238958","Lewis & Clark","IIT","Roberts Pavilion (Claremont, CA)","09/01/2023 01:30 PM","50",23,25,26,19,15,25,16,24,25,8,"at Claremont, CA"
"3238956","Pomona-Pitzer","St. Catherine","Voelkel Gymnasium (Claremont, CA)","09/01/2023 01:30 PM","75",23,21,25,25,6,25,25,22,11,15,""
"3239038","Chapman","Neb. Wesleyan","Sports Science Athletic Pavilion (La Verne, CA)","09/01/2023 01:30 PM","108",25,15,25,21,15,21,25,19,25,9,"at La Verne, CA"
"3239045","Saint Mary's (MN)","Marian (WI)","Saint Mary's Gymnasium (Winona, MN)","09/01/2023 02:00 PM","85",25,29,26,NA,NA,11,27,24,NA,NA,""
"3239077","Wis.-La Crosse","Carleton","Saint Mary's Gymnasium (Winona, MN)","09/01/2023 02:00 PM","77",25,25,23,25,NA,23,16,25,14,NA,"at Winona, MN"
"3239090","Stevens","Union (NY)","Canavan Arena (Hoboken, NJ)","09/01/2023 02:00 PM","92",25,25,25,NA,NA,18,17,21,NA,NA,""
"3239105","Randolph","Waynesburg","E. Stuart James Grant Center (Danville, VA)","09/01/2023 02:00 PM","57",25,25,25,NA,NA,19,16,15,NA,NA,"at Danville, VA"
"3239106","Hollins","Bob Jones","E. Stuart James Grant Center (Danville, VA)","09/01/2023 02:00 PM","115",8,17,21,NA,NA,25,25,25,NA,NA,"at Danville, VA"
"3239127","Suffolk","Hiram","Seiberling Gymnasium (Tiffin, OH)","09/01/2023 02:00 PM","45",26,23,23,19,NA,24,25,25,25,NA,"at Tiffin, OH"
"3239120","Carroll (WI)","Ohio Northern","Cedar Point Sports Complex (Sandusky, OH)","09/01/2023 02:00 PM","1",15,19,19,NA,NA,25,25,25,NA,NA,"at Sandusky, OH"
"3239121","CWRU","Trine","Sandusky, OH","09/01/2023 02:00 PM","115",25,25,25,NA,NA,11,18,14,NA,NA,"at Sandusky, OH"
"3239122","Allegheny","Heidelberg","Cedar Point Sports Complex (Sandusky, OH)","09/01/2023 02:00 PM","57",25,25,25,NA,NA,20,9,10,NA,NA,"at Sandusky, OH"
"3239123","Baldwin Wallace","Bethany (WV)","Sandusky, Ohio","09/01/2023 02:00 PM","43",17,23,17,NA,NA,25,25,25,NA,NA,"at Sandusky, Ohio"
"3239126","Bluffton","Grove City","Seiberling Gymnasium (Tiffin, OH)","09/01/2023 02:00 PM","100",22,19,14,NA,NA,25,25,25,NA,NA,"at Sandusky, OH"
"3239084","Simpson","Concordia (TX)","Mayborn Campus Center (Belton, TX)","09/01/2023 02:30 PM","70",26,25,25,NA,NA,24,20,17,NA,NA,"at Belton, TX"
"3239156","Coast Guard","Lebanon Valley","Gooding Arena (Haverford, PA)","09/01/2023 03:00 PM","87",31,25,25,NA,NA,29,15,22,NA,NA,"at Haverford, PA"
"3239181","Bard","Bridgewater (VA)","TowneBank Arena at the Jane P. Batten Student Center (Virginia Beach, VA)","09/01/2023 03:00 PM","50",12,18,9,NA,NA,25,25,25,NA,NA,"at Virginia Beach, VA"
"3239103","Hardin-Simmons","Wartburg","El Pomar Sports Center (Colorado Springs, CO)","09/01/2023 03:00 PM","101",25,23,18,25,NA,19,25,25,27,NA,"at Colorado Springs, CO"
"3239124","Tex. A&M-Texarkana","Belhaven","Gold Dome (Shreveport, LA)","09/01/2023 03:00 PM","0",25,25,25,NA,NA,13,13,19,NA,NA,""
"3239011","UW-River Falls","Pacific (OR)","Chicago, IL","09/01/2023 03:00 PM","0",25,25,25,NA,NA,11,8,21,NA,NA,"at Chicago, IL"
"3239180","Salem (NC)","Southern Va.","TowneBank Arena at the Jane P. Batten Student Center (Virginia Beach, VA)","09/01/2023 03:00 PM","72",25,25,14,25,NA,15,20,25,15,NA,"at Virginia Beach, VA"
"3239154","Hood","East. Mennonite","Gettysburg, PA","09/01/2023 03:00 PM","82",19,14,25,25,14,25,25,21,16,16,"at Gettysburg, PA"
"3239134","New Jersey City","Hunter","John J. Moore Athletics & Fitness Center (Jersey City, NJ)","09/01/2023 03:00 PM","45",13,19,25,15,NA,25,25,17,25,NA,""
"3239135","Gettysburg","Penn St.-Mont Alto","Bream Gymnasium (Gettysburg, PA)","09/01/2023 03:00 PM","114",25,25,25,NA,NA,5,13,20,NA,NA,""
