"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Roanoke",3,0,23,22,83,0.012,23,4,19,22,4,1,6,0,31,0,"6081556"
"Wittenberg",3,0,29,8,66,0.318,26,4,13,30,4,4,8,0,41,0,"6081556"
"Lakeland",3,0,19,21,67,-0.03,16,3,5,17,8,1,2,0,24,0,"6081551"
"Carthage",3,0,38,8,65,0.462,35,8,15,24,3,1,8,0,51,0,"6081551"
"Mt. St. Joseph",3,0,24,18,84,0.071,22,9,10,25,7,6,0,0,39,0,"6081552"
"Lancaster Bible",3,0,40,16,86,0.279,36,7,12,32,9,5,10,0,57,0,"6081552"
"Calvin",3,0,17,22,83,-0.06,17,2,18,22,4,0,4,0,21,0,"6081549"
"Cal Lutheran",3,0,27,7,60,0.333,26,4,13,36,2,5,7,0,39.5,0,"6081549"
"Wis. Lutheran",4,0,46,25,105,0.2,43,5,20,33,6,4,6,0,58,1,"6081554"
"Mount Union",4,0,39,20,99,0.192,36,6,11,26,5,3,12,0,54,0,"6081554"
"Thiel",5,0,57,30,150,0.18,53,4,18,64,2,3,6,7,67,0,"6081550"
"Concordia Chicago",5,0,48,24,148,0.162,45,2,23,50,4,3,15,1,60.5,0,"6081550"
"St. Norbert",3,0,28,18,80,0.125,27,1,6,25,7,2,0,0,31,0,"6081555"
"Carthage",3,0,45,8,79,0.468,44,7,15,28,1,1,14,0,60,1,"6081555"
"St. John Fisher",3,0,41,10,84,0.369,37,4,13,38,2,8,4,0,55,0,"6081557"
"Trine",3,0,21,18,81,0.037,18,2,11,24,4,5,0,0,28,0,"6081557"
"Wis. Lutheran",3,0,26,9,67,0.254,26,3,9,16,9,3,6,0,35,0,"6081558"
"UC Santa Cruz",3,0,45,14,83,0.373,42,9,12,28,3,1,4,0,57,0,"6081558"
"Mount Union",5,0,57,22,131,0.267,55,2,18,49,8,3,8,0,66,0,"6081553"
"Cal Lutheran",5,0,54,21,133,0.248,49,8,18,45,2,5,10,0,72,0,"6081553"
"Lancaster Bible",5,0,62,32,173,0.173,58,5,23,70,1,10,4,0,79,0,"6081559"
"Trine",5,0,49,29,157,0.127,41,1,11,70,5,14,8,0,68,0,"6081559"
"Eastern",4,0,45,16,116,0.25,42,5,10,54,6,6,0,2,56,1,"6081560"
"Wilkes",4,0,39,27,132,0.091,38,6,13,48,5,5,10,8,55,1,"6081560"
"Hiram",3,0,19,16,64,0.047,17,2,9,14,3,0,6,0,24,0,"6081562"
"Juniata",3,0,45,9,73,0.493,43,3,14,26,2,3,8,0,55,0,"6081562"
"Concordia Chicago",3,0,19,19,79,0,18,3,12,28,4,0,4,0,24,0,"6081561"
"Wittenberg",3,0,40,11,83,0.349,38,4,21,34,3,1,9,0,49.5,0,"6081561"
"Lasell",4,0,45,10,92,0.38,42,2,11,32,4,5,6,1,55,0,"6081563"
"Nazareth",4,0,56,25,120,0.258,50,4,20,31,2,2,6,2,65,1,"6081563"
"Roanoke",5,0,52,25,138,0.196,48,9,29,44,4,1,14,2,69,1,"6081565"
"Thiel",5,0,43,18,116,0.216,41,4,16,52,9,4,6,2,54,0,"6081565"
"Misericordia",4,0,46,12,102,0.333,40,12,20,31,3,0,14,0,65,0,"6081564"
"Buffalo St.",4,0,42,21,105,0.2,39,3,20,31,12,1,0,0,46,0,"6081564"
"Elmira",5,0,61,28,144,0.229,57,12,31,46,5,4,0,1,77,0,"6081570"
"Eastern",5,0,34,19,110,0.136,33,5,13,47,12,7,6,5,49,0,"6081570"
"St. John Fisher",3,0,42,17,92,0.272,42,2,13,38,0,2,6,0,49,0,"6081567"
"Lancaster Bible",3,0,30,14,95,0.168,28,0,17,27,2,3,10,0,38,0,"6081567"
"Roanoke",4,0,55,24,129,0.24,53,6,15,52,2,2,2,0,64,0,"6081568"
"Concordia Chicago",4,0,39,20,121,0.157,36,2,12,42,6,4,6,0,48,0,"6081568"
"Hobart",3,0,35,11,69,0.348,33,10,22,17,4,2,12,1,53,0,"6081571"
"SUNY Poly",3,0,21,15,56,0.107,21,4,14,22,10,0,5,1,27.5,0,"6081571"
"Westminster (MO)",4,0,38,27,92,0.12,34,5,22,33,4,8,20,0,61,0,"6081572"
"Russell Sage",4,0,23,34,95,-0.116,20,4,19,24,5,2,4,0,31,0,"6081572"
"Chatham",3,0,17,23,77,-0.078,17,2,16,26,6,1,4,0,22,0,"6081573"
"Hiram",3,0,30,16,79,0.177,28,6,15,29,2,2,18,0,47,0,"6081573"
"St. John Fisher",3,0,41,10,79,0.392,38,5,11,30,6,2,2,1,49,0,"6081575"
"Mt. St. Joseph",3,0,30,13,79,0.215,29,6,15,21,5,1,8,1,41,0,"6081575"
"Elmira",4,0,51,30,126,0.167,49,13,21,42,5,2,0,0,66,1,"6081574"
"Wilkes",4,0,32,12,90,0.222,30,5,17,36,13,4,6,2,44,0,"6081574"
"Lasell",4,0,50,18,101,0.317,46,5,17,38,9,4,14,2,66,0,"6081577"
"Misericordia",4,0,39,19,100,0.2,34,9,18,25,5,1,24,4,61,1,"6081577"
"Wis. Lutheran",3,0,24,15,77,0.117,21,2,11,29,6,2,4,0,30,0,"6081566"
"Cal Lutheran",3,0,42,11,87,0.356,32,6,10,30,2,1,12,1,55,0,"6081566"
"Westminster (MO)",3,0,28,20,83,0.096,26,0,13,27,7,5,2,0,34,1,"6081578"
"Nazareth",3,0,31,22,85,0.106,26,7,11,25,0,2,10,0,45,0,"6081578"
"Calvin",3,0,19,22,83,-0.036,16,4,13,25,8,1,12,0,30,0,"6081569"
"UC Santa Cruz",3,0,31,11,69,0.29,30,8,16,33,4,2,12,0,47,0,"6081569"
"Thiel",4,0,49,23,109,0.239,46,4,21,40,5,1,2,0,55,0,"6081576"
"Wittenberg",4,0,43,15,104,0.269,40,5,15,34,4,2,8,0,54,0,"6081576"
"Chatham",3,0,18,18,61,0,17,2,16,13,6,0,2,0,21,0,"6081579"
"Juniata",3,0,33,10,59,0.39,29,6,11,22,2,3,6,0,45,0,"6081579"
"Mt. St. Joseph",3,0,39,10,72,0.403,34,4,17,27,2,4,12,0,53,0,"6081580"
"Trine",3,0,22,22,74,0,21,2,9,20,4,2,4,0,28,0,"6081580"
"Buffalo St.",3,0,24,24,85,0,22,4,15,24,5,0,4,0,30,0,"6081582"
"Hobart",3,0,31,11,69,0.29,29,5,19,28,4,2,22,0,49,0,"6081582"
"Russell Sage",3,0,27,16,67,0.164,23,5,21,18,11,2,4,3,36,0,"6081581"
"SUNY Poly",3,0,29,14,64,0.234,29,11,22,21,5,1,8,2,45,1,"6081581"
"Calvin",4,0,46,25,131,0.16,42,8,25,45,3,0,14,0,61,3,"6081583"
"Wis. Lutheran",4,0,40,20,114,0.175,39,3,18,55,8,5,10,0,53,2,"6081583"
"Mount Union",3,0,25,18,84,0.083,24,1,11,33,4,2,7,1,31.5,0,"6081584"
"UC Santa Cruz",3,0,45,15,95,0.316,44,4,20,38,1,1,14,1,57,0,"6081584"
"Lasell",3,0,42,19,102,0.225,37,5,13,34,3,1,6,0,51,0,"6081586"
"Hobart",3,0,44,12,99,0.323,37,3,11,35,5,2,8,0,53,0,"6081586"
"Russell Sage",3,0,14,15,58,-0.017,13,3,10,12,14,0,0,0,17,0,"6081585"
"Nazareth",3,0,36,5,57,0.544,33,14,11,26,3,3,6,0,56,0,"6081585"
"Buffalo St.",4,0,34,26,90,0.089,31,3,18,24,6,0,4,0,39,0,"6081588"
"Nazareth",4,0,42,12,84,0.357,37,6,20,26,3,1,10,0,54,0,"6081588"
