"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Nebraska",4,47,16,120,0.258,44,4,8,51,66,6,3,30,1,69,0,"5362360"
"Kentucky",4,51,30,151,0.139,49,6,16,47,88,4,3,12,0,66,0,"5362360"
"Wisconsin",4,47,21,145,0.179,45,1,17,53,84,2,6,16,1,62,1,"5689690"
"Louisville",4,53,29,145,0.166,47,2,9,65,70,1,3,14,2,65,0,"5689690"
"South Carolina St.",4,43,37,144,0.042,35,4,8,64,91,17,0,18,5,56,0,"5667116"
"Nicholls",4,35,21,127,0.11,31,17,8,59,71,4,2,6,2,57,0,"5667116"
"USC Upstate",4,52,22,168,0.179,48,11,7,60,94,4,1,12,0,70,0,"5667130"
"Missouri St.",4,62,19,154,0.279,55,4,3,78,79,11,2,4,3,70,0,"5667130"
"SIUE",3,40,10,89,0.337,38,12,8,29,52,7,1,10,0,58,0,"5697409"
"Eastern Mich.",3,30,17,81,0.16,28,7,5,34,65,12,3,4,3,42,0,"5697409"
"Gardner-Webb",3,32,19,103,0.126,31,6,6,40,64,6,0,4,0,40,0,"5667121"
"Norfolk St.",3,44,6,94,0.404,42,6,9,44,51,6,1,14,0,58,0,"5667121"
"Merrimack",3,29,21,99,0.081,29,4,10,29,66,3,0,10,1,38,2,"5667122"
"Binghamton",3,39,11,85,0.329,36,3,8,38,44,4,1,12,0,49,0,"5667122"
"Seton Hall",3,24,17,88,0.08,24,4,6,34,63,8,0,2,0,29,0,"5667127"
"Ball St.",3,43,15,97,0.289,39,8,10,42,50,4,2,10,0,58,0,"5667127"
"Portland",3,48,15,100,0.33,43,2,8,47,57,4,0,22,3,61,0,"5667129"
"Stetson",3,35,21,114,0.123,32,4,7,34,70,2,0,8,3,43,0,"5667129"
"UTRGV",3,37,14,89,0.258,35,16,12,40,43,4,1,4,1,56,0,"5667131"
"Charlotte",3,17,16,76,0.013,17,4,6,30,61,16,2,10,5,28,0,"5667131"
"Delaware St.",5,51,28,169,0.136,50,9,9,76,100,9,0,12,7,66,0,"5667132"
"Stony Brook",5,65,22,179,0.24,61,9,13,80,86,9,3,24,6,89,0,"5667132"
"Rhode Island",5,45,19,139,0.187,40,6,6,45,98,9,2,11,3,58.5,0,"5667135"
"Quinnipiac",5,73,32,159,0.258,63,9,7,61,88,6,2,12,7,90,0,"5667135"
"Coppin St.",3,45,24,129,0.163,44,3,6,59,61,1,3,10,0,56,0,"5667140"
"Northeastern",3,34,18,123,0.13,31,1,6,53,69,3,4,18,1,48,0,"5667140"
"Saint Francis",3,32,20,103,0.117,31,5,6,36,63,6,0,0,5,37,2,"5667141"
"Duquesne",3,40,7,89,0.371,39,6,10,43,52,5,1,18,1,56,0,"5667141"
"Xavier",5,59,34,177,0.141,55,6,6,70,100,6,3,16,1,76,0,"5667142"
"App State",5,62,22,162,0.247,58,6,9,68,93,6,2,10,7,75,0,"5667142"
"Prairie View",3,26,16,86,0.116,25,1,6,37,63,5,0,12,6,33,0,"5667119"
"Sam Houston",3,47,11,108,0.333,42,5,10,40,47,1,0,14,0,59,0,"5667119"
"New Hampshire",5,52,25,152,0.178,50,1,9,65,96,10,3,10,1,61,1,"5667120"
"LSU",5,63,25,162,0.235,60,10,15,63,85,1,3,10,4,81,0,"5667120"
"UT Martin",5,52,32,185,0.108,47,6,8,91,91,6,4,4,4,64,0,"5667159"
"The Citadel",5,61,29,191,0.168,53,6,15,87,98,6,2,16,1,77,0,"5667159"
"Queens (NC)",3,21,16,88,0.057,20,4,5,37,63,6,1,4,1,28,0,"5667160"
"East Carolina",3,48,17,111,0.279,44,6,12,44,55,4,1,8,2,59,0,"5667160"
"North Ala.",3,34,19,132,0.114,32,2,9,81,67,1,0,8,0,40,0,"5667124"
"Auburn",3,43,20,150,0.153,38,1,7,72,57,2,0,16,2,52,0,"5667124"
"Central Ark.",3,44,8,85,0.424,40,4,2,43,40,1,1,16,3,57,0,"5667128"
"Tarleton St.",3,32,20,100,0.12,29,1,5,33,72,4,0,2,1,34,0,"5667128"
"Houston Christian",5,62,25,161,0.23,57,2,13,59,97,4,6,6,0,73,0,"5667133"
"Texas St.",5,62,24,166,0.229,53,4,9,59,88,2,6,4,1,74,0,"5667133"
"Saint Louis",3,27,25,101,0.02,26,1,7,38,63,9,0,4,0,30,0,"5667136"
"Ole Miss",3,34,13,90,0.233,30,9,10,40,48,1,2,16,1,53,0,"5667136"
"Tennessee Tech",3,38,21,102,0.167,34,5,9,47,58,1,0,14,0,50,1,"5667138"
"Austin Peay",3,27,26,104,0.01,26,1,4,39,64,5,2,10,0,35,0,"5667138"
"Southern Ind.",4,61,29,192,0.167,58,3,4,101,87,5,3,14,1,74,1,"5667139"
"St. Thomas (MN)",4,47,24,180,0.128,46,5,5,84,89,3,1,18,2,62,0,"5667139"
"NJIT",3,16,27,81,-0.136,16,1,5,27,62,6,1,8,0,22,0,"5667144"
"Syracuse",3,35,11,75,0.32,31,6,11,32,38,1,3,24,1,56,0,"5667144"
"Marist",3,31,24,88,0.08,31,0,5,23,67,9,2,0,0,33,0,"5667146"
"Old Dominion",3,37,6,70,0.443,34,9,7,28,40,0,2,12,0,54,0,"5667146"
"Lafayette",3,37,8,66,0.439,36,8,8,25,49,6,1,22,1,57,0,"5667148"
"Le Moyne",3,29,20,78,0.115,27,6,7,17,66,8,0,6,1,38,1,"5667148"
"Florida A&M",3,32,20,115,0.104,30,0,1,39,66,3,2,6,0,37,1,"5667151"
"South Dakota St.",3,50,14,116,0.31,45,3,8,55,54,0,1,16,0,62,0,"5667151"
"UNI",3,41,14,89,0.303,36,8,6,36,41,2,1,4,3,52,0,"5667154"
"FIU",3,20,20,84,0,19,2,4,29,67,8,0,10,3,27,0,"5667154"
"North Dakota St.",3,38,21,104,0.163,34,4,7,34,70,3,1,6,1,46,1,"5667155"
"UAlbany",3,42,13,90,0.322,41,3,4,41,54,4,1,4,1,48,0,"5667155"
"Jacksonville",4,49,22,126,0.214,43,9,13,63,69,7,1,12,0,65,0,"5697309"
"Southern U.",4,40,19,125,0.168,33,7,17,47,84,9,1,12,0,54,1,"5697309"
"Tulane",4,52,21,153,0.203,47,7,6,67,84,7,3,12,7,68,0,"5667118"
"New Mexico",4,63,26,164,0.226,56,7,12,66,92,7,3,6,1,76,0,"5667118"
"CSU Bakersfield",3,40,13,101,0.267,38,12,5,44,54,4,1,8,0,57,0,"5667117"
"Kansas City",3,32,20,108,0.111,31,4,2,36,69,12,1,4,2,39,0,"5667117"
"Abilene Christian",3,28,21,91,0.077,25,1,11,26,68,4,1,4,1,32,0,"5667147"
"Baylor",3,38,8,78,0.385,28,4,5,31,33,1,1,18,3,52,0,"5667147"
"High Point",4,56,25,141,0.22,54,8,8,70,74,2,0,16,0,72,0,"5667185"
"Fairfield",4,40,24,147,0.109,38,2,6,52,88,8,0,13,0,48.5,0,"5667185"
"Central Mich.",5,57,25,190,0.168,51,2,9,90,96,4,3,26,1,75,0,"5667182"
"Lindenwood",5,64,39,203,0.123,58,4,12,91,104,2,3,8,1,75,0,"5667182"
"Jackson St.",4,60,18,164,0.256,53,7,9,69,0,6,1,16,1,76,0,"5667157"
"Murray St.",4,57,19,151,0.252,55,6,1,75,0,7,3,2,1,67,0,"5667157"
"American",3,47,18,113,0.257,43,4,3,48,57,3,3,8,0,58,0,"5667164"
"Georgetown",3,37,16,110,0.191,36,3,6,41,70,4,0,16,1,48,0,"5667164"
"Colgate",5,53,16,162,0.228,50,6,6,80,98,11,0,16,2,67,0,"5667167"
"Duke",5,75,23,185,0.281,71,11,14,74,91,6,0,10,1,91,0,"5667167"
"Charleston So.",4,48,17,148,0.209,44,9,13,72,67,2,3,18,3,69,0,"5667170"
"Furman",4,42,27,152,0.099,39,2,9,67,81,9,1,12,3,51,0,"5667170"
"Rider",4,36,29,115,0.061,31,7,6,34,80,6,4,6,3,50,0,"5667171"
"Temple",4,57,25,125,0.256,53,6,17,38,80,7,7,6,2,73,0,"5667171"
"Bryant",5,53,26,145,0.186,51,4,8,70,85,7,0,20,0,67,0,"5667172"
"Fla. Atlantic",5,53,18,147,0.238,47,7,13,59,81,4,1,20,0,71,0,"5667172"
"Wichita St.",4,55,7,110,0.436,51,6,7,49,68,5,2,14,2,70,1,"5667173"
"Kennesaw St.",4,56,21,137,0.255,54,5,10,41,88,6,0,8,1,65,0,"5667173"
"Texas Tech",3,40,9,94,0.33,38,7,6,46,48,3,1,25,0,60.5,2,"5667174"
"Eastern Ky.",3,32,18,103,0.136,30,3,6,37,67,7,1,12,0,42,0,"5667174"
"Miami (OH)",3,48,15,112,0.295,43,8,7,45,57,5,1,2,1,58,0,"5667163"
"Lamar University",3,34,16,99,0.182,33,5,5,43,70,8,1,8,0,44,0,"5667163"
"ULM",4,46,30,153,0.105,43,12,11,55,83,7,0,6,1,61,0,"5667292"
"Alabama St.",4,48,19,130,0.223,40,7,13,54,83,12,2,22,4,68,0,"5667292"
"Manhattan",4,47,30,130,0.131,43,7,8,41,88,7,0,2,0,55,0,"5667188"
"Bethune-Cookman",4,45,12,104,0.317,40,7,5,42,70,7,5,14,1,64,1,"5667188"
"Bucknell",4,37,23,126,0.111,33,6,6,52,83,9,3,16,0,54,2,"5667200"
"Toledo",4,55,24,137,0.226,49,9,12,55,78,6,5,15,0,76.5,2,"5667200"
"Robert Morris",4,37,20,115,0.148,34,8,2,44,81,8,0,18,1,54,0,"5667195"
"UNC Greensboro",4,58,15,125,0.344,53,8,8,52,69,8,1,18,1,76,0,"5667195"
"UIW",3,43,12,115,0.27,41,0,12,47,68,4,0,8,1,47,1,"5667179"
"SFA",3,43,10,105,0.314,40,4,6,52,48,0,0,4,1,49,0,"5667179"
"Troy",3,36,32,114,0.035,36,3,6,45,70,3,3,16,0,50,0,"5685066"
"Maryland",3,32,16,104,0.154,29,3,4,33,55,3,1,36,0,54,0,"5685066"
"Southern Utah",4,45,24,147,0.143,43,2,7,58,84,6,2,14,1,56,0,"5667137"
"Northern Ariz.",4,54,11,132,0.326,54,6,7,67,60,2,3,20,3,73,0,"5667137"
"Ark.-Pine Bluff",3,16,9,78,0.09,15,1,3,25,67,12,3,8,0,24,0,"5667166"
"Jacksonville St.",3,48,20,102,0.275,46,12,7,44,46,1,1,4,1,63,0,"5667166"
"Northeastern",4,34,20,119,0.118,33,4,8,40,90,7,3,24,6,53,0,"5667194"
"St. John's (NY)",4,56,25,130,0.238,48,7,2,57,61,4,5,9,0,72.5,0,"5667194"
"UTSA",4,52,24,146,0.192,49,3,10,53,93,6,2,14,2,64,0,"5667191"
