"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Salem (WV)",4,36,21,113,0.133,35,8,8,59,83,23,2,0,0,46,1,"5676190"
"Point Park",4,34,14,110,0.182,32,23,8,55,67,8,2,8,0,63,2,"5676190"
"Charleston (WV)",4,55,12,131,0.328,48,7,6,57,67,6,2,16,0,72,0,"5676191"
"West Virginia St.",4,48,23,140,0.179,44,6,6,53,85,7,1,10,0,60,0,"5676191"
"Glenville St.",3,29,16,105,0.124,28,2,7,48,70,5,4,2,1,36,0,"5676192"
"Concord",3,44,12,107,0.299,38,5,3,56,42,2,5,4,2,56,0,"5676192"
"West Liberty",4,38,30,137,0.058,35,4,4,48,92,9,1,14,0,50,0,"5676194"
"Wheeling",4,53,14,129,0.302,50,9,3,68,56,4,0,14,0,69,0,"5676194"
"Wingate",3,37,4,81,0.407,35,11,10,37,40,1,1,14,0,56,0,"5676195"
"Catawba",3,26,22,90,0.044,26,1,3,38,63,11,0,0,3,27,0,"5676195"
"Limestone",5,57,29,224,0.125,55,6,6,113,104,6,5,16,0,76,0,"5676199"
"Mars Hill",5,63,31,222,0.144,61,6,3,121,93,6,2,18,0,80,0,"5676199"
"Assumption",3,24,13,90,0.122,24,8,8,42,64,3,0,2,4,33,1,"5676200"
"Adelphi",3,50,8,105,0.4,41,3,9,47,44,8,2,6,0,58,0,"5676200"
"Tusculum",4,41,23,144,0.125,38,4,12,55,85,9,1,12,3,52,0,"5676204"
"Carson-Newman",4,53,17,133,0.271,51,9,12,67,63,4,0,16,2,70,0,"5676204"
"American Int'l",4,53,15,127,0.299,49,11,12,56,62,5,3,12,3,73,0,"5676211"
"Southern N.H.",4,39,22,130,0.131,34,5,10,49,85,11,1,12,0,51,0,"5676211"
"West Va. Wesleyan",4,47,37,156,0.064,42,5,4,56,79,3,0,10,0,57,0,"5676216"
"Davis & Elkins",4,40,15,147,0.17,36,3,11,51,81,5,2,16,0,53,0,"5676216"
"St. Thomas Aquinas",3,24,17,104,0.067,23,7,9,37,68,9,3,2,3,35,0,"5676219"
"Queens (NY)",3,40,10,92,0.326,39,9,5,55,41,7,4,4,1,55,1,"5676219"
"Southern Conn. St.",4,26,20,120,0.05,24,7,7,42,84,13,1,10,3,39,0,"5676224"
"Saint Michael's",4,51,16,118,0.297,47,13,10,63,54,7,2,6,0,69,0,"5676224"
"Converse",5,67,22,188,0.239,61,7,5,73,94,11,2,10,2,81,0,"5676225"
"King (TN)",5,64,19,183,0.246,62,11,12,72,103,7,0,12,3,81,0,"5676225"
"Western Colo.",4,54,18,142,0.254,53,9,10,54,91,10,3,16,1,74,0,"5676140"
"Fort Lewis",4,54,30,150,0.16,51,10,4,64,89,9,1,16,1,73,0,"5676140"
"Mont. St. Billings",4,60,27,176,0.188,57,9,5,86,84,3,1,8,2,74,0,"5676193"
"Rocky Mountain",4,49,19,158,0.19,48,3,4,76,89,9,4,12,0,62,2,"5676193"
"Clark Atlanta",4,51,30,141,0.149,46,4,13,51,0,7,9,6,2,67,0,"5810080"
"Albany St. (GA)",4,50,27,137,0.168,44,7,7,51,0,4,9,6,1,69,0,"5810080"
"Converse",4,50,30,164,0.122,46,8,5,70,75,8,3,12,5,67,0,"5674715"
"Belmont Abbey",4,41,30,146,0.075,40,8,11,64,93,8,4,16,0,61,0,"5674715"
"Augusta",3,33,19,129,0.109,32,5,7,63,69,6,0,18,0,47,0,"5676259"
"USC Aiken",3,39,21,133,0.135,37,6,4,68,59,5,2,8,1,51,0,"5676259"
"Wilmington (DE)",4,51,16,128,0.273,48,7,4,59,85,9,4,16,3,70,0,"5676294"
"Goldey-Beacom",4,58,33,158,0.158,53,9,6,58,93,7,1,6,1,71,0,"5676294"
"Emmanuel (GA)",5,57,21,184,0.196,54,9,7,78,104,6,6,12,0,78,0,"5676335"
"Anderson (SC)",5,73,32,195,0.21,67,6,6,95,99,9,2,10,0,86,0,"5676335"
"Holy Family",3,27,20,102,0.069,26,1,8,49,63,12,1,6,1,32,1,"5676334"
"Chestnut Hill",3,33,18,107,0.14,31,12,11,47,52,1,4,4,0,51,0,"5676334"
"Tex. Permian Basin",3,31,14,102,0.167,30,5,2,30,66,4,1,12,0,43,0,"5676272"
"Lubbock Christian",3,55,19,117,0.308,52,4,7,51,64,5,2,8,0,65,1,"5676272"
"Tampa",4,58,19,138,0.283,54,7,8,53,73,5,3,14,3,75,0,"5676196"
"Fla. Southern",4,46,26,133,0.15,43,5,7,50,89,7,4,10,0,60,0,"5676196"
"Lincoln Memorial",5,60,25,177,0.198,58,6,10,96,86,6,5,16,0,79,0,"5676279"
"UVA Wise",5,57,26,193,0.161,49,6,14,80,98,6,2,8,0,69,1,"5676279"
"Bridgeport",3,37,11,92,0.283,36,7,10,47,41,1,1,2,3,46,0,"5676281"
"Felician",3,22,14,92,0.087,20,1,9,36,63,7,3,2,3,27,0,"5676281"
"Dominican (NY)",3,42,14,84,0.333,38,11,4,45,41,3,1,0,0,54,0,"5676301"
"Caldwell",3,19,16,85,0.035,18,3,5,24,68,11,0,10,0,27,0,"5676301"
"Daemen",5,63,23,185,0.216,62,12,9,86,81,9,2,8,3,81,0,"5676307"
"Roberts Wesleyan",5,48,18,163,0.184,45,9,10,85,98,12,1,6,1,61,1,"5676307"
"Molloy",4,39,25,127,0.11,38,8,14,48,89,14,6,6,1,56,0,"5676315"
"Mercy",4,48,18,123,0.244,46,14,11,50,64,8,3,12,1,71,0,"5676315"
"Post",3,48,9,96,0.406,44,10,7,58,32,1,0,6,0,61,0,"5676323"
"Bloomfield",3,18,11,91,0.077,18,1,4,33,67,10,3,2,0,23,0,"5676323"
"Georgian Court",4,58,24,164,0.207,54,9,6,86,81,8,1,8,0,72,0,"5676243"
"Jefferson",4,50,16,174,0.195,44,8,10,75,90,9,2,12,2,66,0,"5676243"
"Angelo St.",3,43,17,116,0.224,41,3,8,58,51,4,4,0,0,50,0,"5676260"
"Western N.M.",3,32,15,110,0.155,25,4,11,48,66,3,4,2,0,41,0,"5676260"
"Menlo",4,40,16,158,0.152,35,5,6,66,89,13,3,26,5,61,0,"5676311"
"CUI",4,63,26,162,0.228,60,13,8,86,74,5,1,8,0,81,0,"5676311"
"Western Wash.",3,45,16,119,0.244,42,6,5,52,57,3,3,10,0,59,0,"5676415"
"Northwest Nazarene",3,34,18,109,0.147,32,3,3,53,68,6,1,8,1,42,1,"5676415"
"Bowie St.",3,34,18,120,0.133,30,1,10,46,72,6,3,8,2,42,0,"5676394"
"Elizabeth City St.",3,37,18,108,0.176,34,6,4,59,48,1,3,6,3,49,0,"5676394"
"Clark Atlanta",4,55,28,152,0.178,50,5,12,74,79,10,2,14,0,69,0,"5676392"
"Fort Valley St.",4,35,25,142,0.07,31,10,9,53,84,5,4,12,1,55,0,"5676392"
"Virginia Union",3,32,17,94,0.16,26,4,6,24,70,6,1,8,1,41,0,"5676386"
"Bluefield St.",3,43,12,85,0.365,34,6,5,33,48,4,0,10,0,54,0,"5676386"
"Carson-Newman",3,34,22,124,0.097,32,4,4,59,67,9,2,8,2,44,0,"5676378"
"Lander",3,40,11,120,0.242,34,9,7,55,56,4,2,8,0,55,1,"5676378"
"Winston-Salem",5,57,27,194,0.155,53,4,4,103,96,10,4,12,14,71,0,"5676360"
"Livingstone",5,60,33,213,0.127,56,10,11,101,105,4,5,10,10,80,0,"5676360"
"Shaw",4,45,13,137,0.234,33,7,20,53,70,6,1,8,0,57,2,"5676363"
"Fayetteville St.",4,38,16,141,0.156,31,6,13,59,69,7,2,8,0,50,1,"5676363"
"JWU (Charlotte)",3,19,22,85,-0.035,15,2,1,35,68,12,1,0,0,22,2,"5697074"
