"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"6300482","Ball St.","Wabash","Worthen Arena (Muncie, IN)","01/03/2025 07:00 PM","524",25,25,25,NA,NA,16,14,21,NA,NA,""
"6083804","Ohio St.","BYU","Covelli Center (Columbus, OH)","01/03/2025 07:00 PM","1292",25,20,18,18,NA,19,25,25,25,NA,""
"6083805","Hawaii","McKendree","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","01/04/2025 12:00 AM","5371",25,20,25,25,NA,20,25,22,22,NA,""
"6083807","Ohio St.","BYU","Covelli Center (Columbus, OH)","01/04/2025 07:00 PM","1116",27,25,15,17,NA,29,23,25,25,NA,""
"6300494","Menlo","UC Santa Cruz","Haynes-Prim Pavilion (Atherton, CA)","01/04/2025 09:00 PM","125",25,25,24,25,NA,14,17,26,20,NA,""
"6300483","Ball St.","Trine","Worthen Arena (Muncie, IN)","01/05/2025 01:00 PM","419",25,25,25,NA,NA,13,13,13,NA,NA,""
"6083809","Hawaii","McKendree","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","01/05/2025 10:00 PM","5187",25,25,25,NA,NA,20,19,16,NA,NA,""
"6083811","Charleston (WV)","Catawba","Wehrle Innovation Center (Charleston, WV)","01/07/2025 07:00 PM","136",25,25,25,NA,NA,19,17,18,NA,NA,""
"6083810","UC San Diego","McKendree","LionTree Arena (La Jolla, CA)","01/07/2025 10:00 PM","409",25,25,25,NA,NA,21,22,22,NA,NA,""
"6083813","Central St. (OH)","Roberts Wesleyan","Beacom/Lewis Gym (Wilberforce, OH)","01/08/2025 06:00 PM","101",20,16,23,NA,NA,25,25,25,NA,NA,""
"6083817","King (TN)","Catawba","Student Center Complex (Bristol, TN)","01/08/2025 07:00 PM","117",25,23,19,23,NA,23,25,25,25,NA,""
"6083814","UC San Diego","Saint Francis","LionTree Arena (La Jolla, CA)","01/08/2025 10:00 PM","259",25,25,25,NA,NA,20,20,16,NA,NA,""
"6083816","CUI","Merrimack","CU Arena (Irvine, CA)","01/08/2025 10:00 PM","186",25,20,25,25,NA,17,25,17,21,NA,""
"6083815","Hawaii","Harvard","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","01/09/2025 12:00 AM","5035",25,25,25,NA,NA,18,17,20,NA,NA,""
"6083818","Thomas More","Roberts Wesleyan","Connor Convocation Center (Crestview Hills, KY)","01/09/2025 09:00 AM","52",20,22,25,17,NA,25,25,21,25,NA,""
"6083819","UC Santa Barbara","Missouri S&T","Rob Gym (Santa Barbara, CA)","01/09/2025 05:00 PM","249",31,25,26,NA,NA,29,21,24,NA,NA,""
"6083825","North Greenville","Lincoln Memorial","Tigerville, SC","01/09/2025 06:00 PM","220",25,14,14,19,NA,20,25,25,25,NA,""
"6083821","Barry","Erskine","Health & Sports Center (Miami Shores, FL)","01/09/2025 07:00 PM","358",26,29,14,17,15,24,27,25,25,13,""
"6083820","CSUN","Tusculum","Thunderdome (Santa Barbara, CA)","01/09/2025 07:30 PM","100",25,25,25,NA,NA,14,18,20,NA,NA,"at Santa Barbara, CA"
"6083826","UC Irvine","Menlo","Thunderdome (Santa Barbara, CA)","01/09/2025 10:00 PM","100",25,25,25,NA,NA,14,10,21,NA,NA,"at Santa Barbara, CA"
"6083822","Southern California","Daemen","Galen Center Pavilion (Los Angeles, CA)","01/09/2025 10:00 PM","125",19,25,25,25,NA,25,23,20,14,NA,""
"6083824","Vanguard","Merrimack","Freed Center for Leadership and Service (Costa Mesa , CA)","01/09/2025 10:00 PM","215",25,25,25,NA,NA,23,23,21,NA,NA,""
"6083840","Belmont Abbey","Lincoln Memorial","Wheeler Center Belmont Abbey (Belmont, NC)","01/10/2025 10:00 AM","110",25,15,16,21,NA,23,25,25,25,NA,""
"6083833","Ohio St.","Fort Valley St.","Covelli Center (Columbus, OH)","01/10/2025 05:00 PM","235",26,25,25,NA,NA,24,22,22,NA,NA,""
"6083827","UC Irvine","Tusculum","Thunderdome (Santa Barbara, CA)","01/10/2025 05:00 PM","221",25,25,25,NA,NA,12,14,14,NA,NA,"at Santa Barbara, CA"
"6083843","UCLA","Saint Francis","Pauley Pavilion (Los Angeles, CA)","01/10/2025 06:00 PM","108",25,25,25,NA,NA,15,19,20,NA,NA,"at Long Beach, CA"
"6083841","NJIT","Grand Canyon","Joel & Diane Bloom Wellness & Events Center (Newark, NJ)","01/10/2025 06:00 PM","202",21,27,20,20,NA,25,25,25,25,NA,""
"6083837","Purdue Fort Wayne","Central St. (OH)","Gates Sports Center (Fort Wayne, IN)","01/10/2025 07:00 PM","225",25,23,25,25,NA,18,25,14,20,NA,""
"6083839","Lewis","Maryville (MO)","Neil Carey Arena (Romeoville, IL)","01/10/2025 07:00 PM","550",25,25,25,NA,NA,19,22,22,NA,NA,""
"6083830","Lindenwood","Rockhurst","Robert F. Hyland Arena (Saint Charles, MO)","01/10/2025 07:00 PM","312",25,25,25,NA,NA,19,23,21,NA,NA,""
"6083832","Barry","Barton","Health & Sports Center (Miami Shores, FL)","01/10/2025 07:00 PM","289",25,26,25,NA,NA,23,24,20,NA,NA,""
"6083829","UC Santa Barbara","Menlo","Rob Gym (Santa Barbara, CA)","01/10/2025 07:30 PM","301",22,25,25,25,NA,25,23,12,13,NA,""
"6083835","Loyola Chicago","Penn St.","Joseph J. Gentile Arena (Chicago, IL)","01/10/2025 08:00 PM","1031",25,22,25,25,NA,17,25,20,21,NA,""
"6083838","BYU","St. Thomas Aquinas","Smith Fieldhouse (Provo, UT)","01/10/2025 09:00 PM","3453",25,25,25,NA,NA,11,14,21,NA,NA,""
"6083831","Stanford","Ball St.","Burnham Pavilion (Stanford, CA)","01/10/2025 09:00 PM","415",22,24,16,NA,NA,25,26,25,NA,NA,""
"6311863","Long Beach St.","Saint Francis","Walter Pyramid (Long Beach, CA)","01/10/2025 10:00 PM","1281",25,25,25,NA,NA,13,15,12,NA,NA,""
"6083844","CSUN","Missouri S&T","Thunderdome (Santa Barbara, CA)","01/10/2025 10:00 PM","133",25,25,25,NA,NA,18,20,20,NA,NA,"at Santa Barbara, CA"
"6083834","UC San Diego","Daemen","LionTree Arena (La Jolla, CA)","01/10/2025 10:00 PM","306",25,25,25,NA,NA,18,15,20,NA,NA,""
"6083836","Hawaii","Harvard","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","01/11/2025 12:00 AM","5676",25,25,25,21,16,17,27,15,25,14,""
"6083849","Ohio St.","Fort Valley St.","Covelli Center (Columbus, OH)","01/11/2025 03:00 PM","382",25,25,25,NA,NA,13,18,16,NA,NA,""
"6083847","Barry","Barton","Health & Sports Center (Miami Shores, FL)","01/11/2025 04:00 PM","297",29,26,25,NA,NA,27,24,23,NA,NA,""
"6083846","CSUN","Menlo","Thunderdome (Santa Barbara, CA)","01/11/2025 05:00 PM","155",24,25,25,25,NA,26,19,22,23,NA,"at Santa Barbara, CA"
"6083851","Edward Waters","Erskine","Adams-Jenkins Complex (Jacksonville, FL)","01/11/2025 06:00 PM","97",19,14,22,NA,NA,25,25,25,NA,NA,""
"6083850","Queens (NC)","Charleston (WV)","Curry Arena (Charlotte, NC)","01/11/2025 06:00 PM","126",25,25,14,25,NA,19,19,25,22,NA,""
