"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Nicholls",4,39,15,123,0.195,33,4,11,43,90,10,1,12,0,50,0,"3238331"
"Sam Houston",4,62,19,137,0.314,50,10,9,52,63,4,1,2,1,74,1,"3238331"
"Coastal Carolina",3,40,12,94,0.298,37,6,7,41,47,3,2,16,0,56,1,"3238343"
"Elon",3,30,17,97,0.134,29,3,10,38,66,6,0,8,0,37,1,"3238343"
"Quinnipiac",5,64,45,182,0.104,61,8,3,83,103,9,1,8,3,77,1,"3238340"
"Furman",5,52,27,176,0.142,49,9,8,58,109,8,5,16,0,74,1,"3238340"
"Kansas City",4,60,21,162,0.241,54,15,9,67,78,4,1,18,0,85,0,"3238341"
"FDU",4,43,19,140,0.171,40,4,4,62,88,15,2,12,0,55,0,"3238341"
"Tennessee Tech",3,38,18,100,0.2,30,7,6,31,57,6,2,12,0,53,0,"3238342"
"Bellarmine",3,32,17,92,0.163,28,6,7,30,67,7,1,6,0,42,0,"3238342"
"Eastern Ky.",4,69,28,174,0.236,67,7,9,84,76,2,4,4,1,82,0,"3238367"
"Northwestern St.",4,40,17,154,0.149,36,2,8,55,92,7,4,16,0,54,1,"3238367"
"The Citadel",3,53,15,121,0.314,50,9,7,46,60,2,2,2,0,65,0,"3238345"
"Marshall",3,35,9,100,0.26,34,2,3,44,66,9,1,10,1,43,1,"3238345"
"Marist",3,27,22,95,0.053,25,5,7,34,66,3,0,0,1,32,0,"3238347"
"Texas St.",3,41,8,88,0.375,37,3,8,47,43,5,2,14,0,53,0,"3238347"
"Mercer",5,52,25,137,0.197,48,5,6,52,95,11,3,6,3,63,1,"3238350"
"Saint Louis",5,65,29,154,0.234,57,11,13,48,96,5,3,16,2,87,1,"3238350"
"Northeastern",5,50,26,165,0.145,45,7,6,80,91,4,1,18,2,67,3,"3238351"
"Toledo",5,62,28,182,0.187,50,4,13,76,98,7,3,16,4,77,4,"3238351"
"McNeese",3,36,17,127,0.15,33,6,5,51,69,3,1,8,2,47,2,"3238358"
"Coppin St.",3,53,18,134,0.261,46,3,10,63,69,6,1,4,1,59,0,"3238358"
"Prairie View",5,47,22,152,0.164,43,7,4,69,102,6,2,18,0,65,8,"3238333"
"Tarleton St.",5,60,29,172,0.18,54,6,8,65,94,7,1,18,2,76,4,"3238333"
"Gonzaga",3,18,20,75,-0.027,16,5,9,23,56,4,0,4,0,25,5,"3238330"
"Oklahoma",3,37,7,72,0.417,36,4,17,28,42,5,1,24,2,54,0,"3238330"
"Stony Brook",3,43,14,112,0.259,39,11,7,54,49,1,0,14,0,61,0,"3238380"
"Bucknell",3,34,10,110,0.218,31,1,9,44,67,11,0,8,3,39,1,"3238380"
"Alcorn",3,16,13,83,0.036,16,2,4,30,63,5,1,2,0,20,3,"3238334"
"Memphis",3,49,11,93,0.409,44,5,10,45,39,2,4,4,0,60,0,"3238334"
"Texas Southern",3,28,18,94,0.106,25,4,4,36,68,8,0,6,0,35,1,"3238337"
"UTSA",3,44,8,93,0.387,44,8,6,42,45,4,1,6,2,56,2,"3238337"
"New Orleans",3,27,14,113,0.115,22,3,3,50,70,3,3,4,0,35,3,"3238338"
"Chattanooga",3,51,18,133,0.248,48,3,4,66,52,3,4,4,0,60,1,"3238338"
"Austin Peay",3,25,26,87,-0.011,24,1,1,31,65,6,6,2,1,33,2,"3238339"
"Buffalo",3,38,16,89,0.247,34,6,8,32,56,1,6,4,0,52,3,"3238339"
"Louisiana Tech",5,53,25,156,0.179,51,16,10,70,88,2,0,16,3,77,4,"3238346"
"North Ala.",5,56,22,161,0.211,52,2,8,69,92,16,1,10,2,64,2,"3238346"
"SFA",3,51,16,104,0.337,41,6,3,50,49,1,0,20,0,67,0,"3238348"
"Jackson St.",3,30,14,97,0.165,28,1,4,35,71,6,3,10,6,39,0,"3238348"
"Maryland",4,53,23,118,0.254,46,7,15,46,71,3,3,18,0,72,2,"3192406"
"FIU",4,43,22,119,0.176,36,3,16,39,82,7,0,14,0,53,0,"3192406"
"Canisius",5,53,24,184,0.158,51,5,11,78,100,5,1,12,1,65,0,"3238353"
"Youngstown St.",5,67,27,178,0.225,63,5,9,95,86,5,2,21,6,84.5,2,"3238353"
"Fairfield",5,40,22,153,0.118,34,5,5,69,89,10,3,10,0,53,0,"3238354"
"Army West Point",5,63,35,183,0.153,58,10,13,80,93,5,7,12,0,86,0,"3238354"
"Stonehill",3,25,15,90,0.111,24,2,7,36,67,10,0,14,4,34,0,"3238356"
"Morehead St.",3,41,13,98,0.286,40,10,6,43,43,2,2,12,1,59,1,"3238356"
"Navy",3,37,12,92,0.272,32,7,15,32,48,4,1,10,0,50,0,"3238357"
"Syracuse",3,23,23,83,0,23,4,7,35,59,7,1,2,5,29,1,"3238357"
"Akron",3,34,21,112,0.116,33,5,3,47,66,3,0,12,1,45,3,"3238359"
"Valparaiso",3,41,11,115,0.261,38,3,8,49,59,5,3,14,0,54,0,"3238359"
"Oakland",5,66,20,173,0.266,62,4,9,78,91,10,2,10,4,77,1,"3238360"
"Lindenwood",5,61,21,173,0.231,57,10,14,76,98,4,2,12,7,79,1,"3238360"
"Murray St.",5,59,25,179,0.19,49,8,14,78,92,11,0,6,0,70,0,"3238364"
"Cleveland St.",5,47,18,158,0.184,40,11,5,75,84,8,4,16,0,70,3,"3238364"
"Samford",3,48,19,100,0.29,39,5,10,45,56,9,0,3,0,54.5,0,"3238365"
"Miami (OH)",3,23,13,91,0.11,20,9,8,28,65,5,1,10,0,38,0,"3238365"
"SIUE",4,49,21,143,0.196,48,4,9,62,82,7,8,4,12,63,4,"3238366"
"Eastern Mich.",4,40,24,144,0.111,34,7,7,52,84,4,2,8,15,53,5,"3238366"
"Washington",5,53,28,170,0.147,48,9,5,69,99,6,2,14,3,71,3,"3238332"
"UTEP",5,63,24,171,0.228,58,6,11,75,96,9,3,20,1,82,2,"3238332"
