"Name","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Concord",4,56,17,179,0.218,51,2,6,91,84,4,2,12,0,66,0,"3238824"
"UVA Wise",4,55,30,193,0.13,52,4,1,96,85,2,3,8,1,66,2,"3238824"
"Western Wash.",4,33,31,125,0.016,30,6,9,45,79,4,2,18,3,50,4,"3238821"
"Regis (CO)",4,46,27,130,0.146,36,4,15,50,74,6,6,10,1,61,0,"3238821"
"Lees-McRae",5,69,34,219,0.16,68,8,5,106,97,6,1,18,1,87,3,"3238831"
"Concord",5,52,23,197,0.147,51,6,5,94,102,8,1,20,3,69,1,"3238831"
"Concordia-St. Paul",3,46,12,107,0.318,43,4,8,62,48,1,5,2,8,56,0,"3238833"
"Lake Superior St.",3,31,17,105,0.133,28,1,6,52,65,4,3,2,6,36,0,"3238833"
"Pace",3,24,16,79,0.101,24,3,8,22,66,8,0,8,0,31,0,"3238834"
"Mercy",3,36,14,84,0.262,35,8,8,34,45,3,0,4,3,46,0,"3238834"
"Wis.-Parkside",3,36,10,87,0.299,33,11,9,40,37,3,0,16,2,55,0,"3238829"
"Central St. (OH)",3,19,21,85,-0.024,18,3,5,35,65,11,2,2,0,25,1,"3238829"
"Daemen",3,21,18,95,0.032,17,3,7,35,62,6,0,2,3,25,0,"3238836"
"Clarion",3,42,17,110,0.227,40,6,11,40,50,3,1,12,3,55,0,"3238836"
"Cal Poly Humboldt",4,41,24,134,0.127,35,8,4,49,82,5,0,14,2,56,0,"3238823"
"Upper Iowa",4,58,20,138,0.275,57,5,9,61,80,8,1,10,2,69,1,"3238823"
"MSU Denver",3,53,24,118,0.246,50,2,6,34,68,0,4,14,1,66,1,"3238828"
"Central Wash.",3,36,18,101,0.178,32,0,4,29,70,2,1,12,1,43,1,"3238828"
"Winona St.",5,63,17,176,0.261,56,6,14,72,87,6,1,12,0,76,1,"3238858"
"Michigan Tech",5,60,20,165,0.242,58,6,12,80,89,6,0,8,1,70,0,"3238858"
"Chico St.",5,50,28,198,0.111,40,10,8,85,97,11,0,6,0,63,2,"3238827"
"Academy of Art",5,56,27,183,0.158,54,11,10,96,90,10,3,6,0,73,2,"3238827"
"Shaw",3,41,19,116,0.19,39,6,7,64,49,2,2,2,3,50,0,"3238865"
"Frostburg St.",3,27,19,116,0.069,27,2,8,51,66,6,0,14,1,36,0,"3238865"
"Lees-McRae",5,56,33,189,0.122,54,6,12,85,101,5,3,22,2,76,2,"3238864"
"UVA Wise",5,57,35,195,0.113,54,5,9,82,94,6,8,26,3,83,0,"3238864"
"Kutztown",5,49,26,117,0.197,45,19,13,38,87,9,4,4,0,74,0,"3238862"
"Caldwell",5,40,29,112,0.098,32,9,8,36,95,19,6,12,1,61,0,"3238862"
"Claflin",3,34,14,124,0.161,26,7,9,64,52,6,2,0,0,43,0,"3238871"
"Salem (WV)",3,24,16,122,0.066,20,6,7,56,65,7,4,0,0,34,0,"3238871"
