"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4473152","SUNY Potsdam","Wells","Potsdam, NY","01/11/2024 01:00 PM","63",25,25,23,25,NA,17,19,25,21,NA,""
"4473153","SUNY Potsdam","Hobart","Potsdam, NY","01/11/2024 03:00 PM","57",17,18,16,NA,NA,25,25,25,NA,NA,""
"4473154","American Int'l","Regis (MA)","Henry Butova Gymnasium (Springfield, MA)","01/11/2024 04:00 PM","213",18,30,21,25,15,25,28,25,18,11,""
"4473155","Nichols","Wells","Potsdam, NY","01/11/2024 05:00 PM","27",25,25,25,NA,NA,14,13,15,NA,NA,"at Potsdam, NY"
"4473161","Hobart","Nichols","Potsdam, NY","01/11/2024 07:00 PM","28",25,23,20,23,NA,20,25,25,25,NA,"at Potsdam, NY"
"4473165","Wells","Hobart","Potsdam, NY","01/12/2024 12:00 PM","42",25,18,19,18,NA,23,25,25,25,NA,"at Potsdam, NY"
"4473167","SUNY Potsdam","Nichols","Potsdam, NY","01/12/2024 02:00 PM","35",14,19,24,NA,NA,25,25,26,NA,NA,""
"4473176","Saint Vincent","Lees-McRae","Carey Center (Latrobe, PA)","01/12/2024 06:00 PM","117",17,25,25,23,15,25,20,21,25,13,""
"4473180","Mount Union","Hiram","McPherson Academic and Athletic Complex (Alliance, OH)","01/12/2024 07:00 PM","231",25,25,25,NA,NA,22,19,19,NA,NA,""
"4473187","Wittenberg","St. John Fisher","Pam Evans Smith (Springfield, OH)","01/12/2024 07:30 PM","127",21,25,20,21,NA,25,22,25,25,NA,""
"4473185","Quincy","Dominican (IL)","Quincy, IL","01/12/2024 08:00 PM","234",25,25,25,NA,NA,20,21,21,NA,NA,""
"4473184","CUI","Springfield","Irvine, CA","01/12/2024 10:00 PM","172",25,25,25,NA,NA,23,19,20,NA,NA,""
"4473186","Cal Lutheran","UC Santa Cruz","Gilbert Arena (Thousand Oaks, CA)","01/12/2024 10:00 PM","225",25,25,25,NA,NA,19,19,18,NA,NA,""
"4473188","Adrian","Vassar","Gilbert Arena (Thousand Oaks, CA)","01/12/2024 10:00 PM","50",22,20,15,NA,NA,25,25,25,NA,NA,"at Thousand Oaks, CA"
"4473193","Lancaster Bible","Eastern","Lancaster, PA","01/13/2024 11:00 AM","144",25,23,29,25,NA,21,25,27,21,NA,""
"4473194","Randolph-Macon","Nazareth","Crenshaw Gymnasium (Ashland, VA)","01/13/2024 11:00 AM","256",25,22,25,18,13,16,25,23,25,15,""
"4473198","Stevens","St. Joseph's (L.I.)","Hoboken, NJ","01/13/2024 12:00 PM","202",30,27,22,25,NA,28,25,25,20,NA,""
"4473197","Elmira","Misericordia","Speidel Gymnasium (Elmira, NY)","01/13/2024 12:00 PM","75",25,15,17,23,NA,23,25,25,25,NA,""
"4473199","St. John Fisher","Penn St.-Altoona","Pam Evans Smith (Springfield, OH)","01/13/2024 12:00 PM","9",25,25,25,NA,NA,10,19,16,NA,NA,"at Springfield, OH"
"4473204","Eastern","Southern Va.","Lancaster, PA","01/13/2024 01:00 PM","79",10,12,18,NA,NA,25,25,25,NA,NA,"at Lancaster, PA"
"4473205","Nazareth","Roanoke","Crenshaw Gymnasium (Ashland, VA)","01/13/2024 01:00 PM","145",24,22,25,25,15,26,25,22,22,12,"at Ashland, VA"
"4473220","East. Mennonite","Mt. St. Joseph","Harrisonburg, VA","01/13/2024 01:00 PM","138",25,25,21,17,15,18,23,25,25,13,""
"4473238","Misericordia","SUNY Poly","Speidel Gymnasium (Elmira, NY)","01/13/2024 02:00 PM","38",25,29,25,NA,NA,20,27,21,NA,NA,"at Elmira, NY"
"4473192","Concordia Chicago","Maranatha Baptist","River Forest, IL","01/13/2024 02:00 PM","123",25,25,25,NA,NA,11,13,15,NA,NA,""
