"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"3238331","Sam Houston","Nicholls","Johnson Coliseum (Huntsville, TX)","08/25/2023 10:00 AM","125",25,25,25,25,NA,15,27,14,17,NA,""
"3238343","Elon","Coastal Carolina","Halton Arena (Charlotte, NC)","08/25/2023 10:00 AM","0",16,23,16,NA,NA,25,25,25,NA,NA,"at Charlotte, NC"
"3238340","Furman","Quinnipiac","Cassell Coliseum (Blacksburg, VA)","08/25/2023 10:00 AM","102",22,25,23,26,16,25,23,25,24,14,"at Blacksburg, VA"
"3238341","FDU","Kansas City","Abessinio Court at Eleanor R. Baldwin Arena (Boca Raton, FL)","08/25/2023 10:00 AM","80",22,15,25,19,NA,25,25,23,25,NA,"at Boca Raton, FL"
"3238342","Bellarmine","Tennessee Tech","Holmes Convocation Center (Boone, NC)","08/25/2023 10:00 AM","53",23,19,20,NA,NA,25,25,25,NA,NA,"at Boone, NC"
"3238367","Northwestern St.","Eastern Ky.","Newell-Grissom Building (Starkville, MS)","08/25/2023 10:00 AM","97",20,17,29,17,NA,25,25,27,25,NA,"at Starkville, MS"
"3238345","Marshall","The Citadel","Richard V. Moore Gymnasium (Daytona Beach, FL)","08/25/2023 10:00 AM","82",20,23,18,NA,NA,25,25,25,NA,NA,"at Daytona Beach, FL"
"3238347","Texas St.","Marist","Food City Center (Knoxville, TN)","08/25/2023 10:00 AM","57",25,25,25,NA,NA,17,15,17,NA,NA,"at Knoxville, TN"
"3238350","Saint Louis","Mercer","Foster Auditorium (Tuscaloosa, AL)","08/25/2023 10:00 AM","182",20,25,25,24,15,25,21,18,26,11,"at Tuscaloosa, AL"
"3238351","Toledo","Northeastern","Reynolds Gym (Winston-Salem, NC)","08/25/2023 10:00 AM","74",22,25,18,25,15,25,19,25,22,12,"at Winston-Salem, NC"
"3238358","Coppin St.","McNeese","Neville Arena (Auburn, AL)","08/25/2023 10:00 AM","57",28,25,27,NA,NA,26,22,25,NA,NA,"at Auburn, AL"
"3238333","Tarleton St.","Prairie View","Wisdom Volleyball Gym (Stephenville, TX)","08/25/2023 10:30 AM","157",25,25,21,23,15,15,17,25,25,17,""
"3238330","Oklahoma","Gonzaga","Worthen Arena (Muncie, IN)","08/25/2023 11:00 AM","64",25,25,25,NA,NA,11,18,20,NA,NA,"at Muncie, IN"
"3238380","Bucknell","Stony Brook","Liberty Arena (Lynchburg, VA)","08/25/2023 11:00 AM","87",20,18,19,NA,NA,25,25,25,NA,NA,"at Lynchburg, VA"
"3238334","Memphis","Alcorn","Larry O. Finch Center (Memphis, TN)","08/25/2023 11:00 AM","300",25,25,25,NA,NA,15,16,10,NA,NA,""
"3238337","UTSA","Texas Southern","Convocation Center (San Antonio, TX)","08/25/2023 11:00 AM","280",25,25,25,NA,NA,19,14,15,NA,NA,""
"3238338","Chattanooga","New Orleans","GSU Sports Arena (Atlanta, GA)","08/25/2023 11:00 AM","110",25,25,25,NA,NA,16,23,15,NA,NA,"at Atlanta, GA"
"3238339","Buffalo","Austin Peay","Bartow Arena (Birmingham, AL)","08/25/2023 11:00 AM","72",25,25,25,NA,NA,23,13,19,NA,NA,"at Birmingham, AL"
"3238346","North Ala.","Louisiana Tech","First National Bank Arena (Jonesboro, AR)","08/25/2023 11:00 AM","105",25,25,15,17,15,23,17,25,25,11,"at Jonesboro, AR"
"3238348","Jackson St.","SFA","Jaguar Gymnasium (Mobile, AL)","08/25/2023 11:00 AM","59",15,17,20,NA,NA,25,25,25,NA,NA,"at Mobile, AL"
"3192406","FIU","Maryland","James L. Knight Sports Complex (Miami, FL)","08/25/2023 11:00 AM","182",25,22,18,21,NA,23,25,25,25,NA,"at Miami, FL"
"3238353","Youngstown St.","Canisius","Beeghly Center (Youngstown, OH)","08/25/2023 11:00 AM","821",23,25,25,21,15,25,18,21,25,8,""
"3238354","Army West Point","Fairfield","Gillis Field House (West Point, NY)","08/25/2023 11:00 AM","300",20,25,25,25,7,25,17,14,27,15,""
"3238356","Morehead St.","Stonehill","Johnson Arena (Morehead, KY)","08/25/2023 11:00 AM","111",25,25,25,NA,NA,20,13,15,NA,NA,""
"3238357","Syracuse","Navy","University Gym (Albany, NY)","08/25/2023 11:00 AM","75",14,20,20,NA,NA,25,25,25,NA,NA,"at Albany, NY"
"3238359","Valparaiso","Akron","Lantz Arena (Charleston, IL)","08/25/2023 11:00 AM","55",25,25,25,NA,NA,21,19,21,NA,NA,"at Charleston, IL"
"3238360","Lindenwood","Oakland","Flames Athletic Center (Chicago, IL)","08/25/2023 11:00 AM","107",25,29,14,22,15,19,27,25,25,11,"at Chicago, IL"
"3238364","Cleveland St.","Murray St.","Western Hall (Macomb, IL)","08/25/2023 11:00 AM","45",11,25,22,25,15,25,23,25,17,7,"at Macomb, IL"
