#,P,S,MS,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id,team_name
23,OH,3,0,2,5,16,-0.188,0,1,3,8,0,0,1,0,3.5,0,6081556,Roanoke
8,MB,3,0,0,0,1,0,10,0,4,1,0,0,0,0,0,0,6081556,Roanoke
18,MB,3,0,4,1,12,0.25,0,0,0,0,0,0,0,0,4,0,6081556,Roanoke
7,S,3,0,0,0,1,0,12,0,0,3,0,0,0,0,0,0,6081556,Roanoke
2,OH,2,0,2,4,10,-0.2,0,0,1,0,0,0,1,0,2.5,0,6081556,Roanoke
24,OPP,3,0,4,1,6,0.5,0,0,0,0,0,0,1,0,4.5,0,6081556,Roanoke
13,MB,3,0,1,2,7,-0.143,0,2,3,2,0,0,2,0,4,0,6081556,Roanoke
3,L,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6081556,Roanoke
1,OH,3,0,8,6,24,0.083,1,0,4,5,0,0,0,0,8,0,6081556,Roanoke
12,MB,3,0,2,3,6,-0.167,0,1,4,0,0,1,1,0,4.5,0,6081556,Roanoke
6,MB,3,0,1,0,3,0.333,0,0,0,0,0,2,2,0,4,0,6081556,Wittenberg
2,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081556,Wittenberg
10,L,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,6081556,Wittenberg
8,S,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,6081556,Wittenberg
1,OH,3,0,5,3,13,0.154,3,3,2,4,0,0,1,0,8.5,0,6081556,Wittenberg
11,S,3,0,0,0,0,0,4,1,2,1,0,0,0,0,1,0,6081556,Wittenberg
13,OH,3,0,8,1,15,0.467,1,0,1,0,0,2,1,0,10.5,0,6081556,Wittenberg
21,MB,3,0,4,1,7,0.429,0,0,0,1,0,0,2,0,5,0,6081556,Wittenberg
18,OPP,3,0,1,2,7,-0.143,0,0,2,2,0,0,1,0,1.5,0,6081556,Wittenberg
14,S,3,0,0,0,2,0,11,0,2,5,0,0,0,0,0,0,6081556,Wittenberg
9,OH,3,0,10,1,19,0.474,2,0,3,5,0,0,1,0,10.5,0,6081556,Wittenberg
19,S,3,0,0,1,2,-0.5,13,1,0,2,0,0,0,0,1,0,6081551,Lakeland
22,OH,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,6081551,Lakeland
6,OH,3,0,6,7,18,-0.056,0,1,1,3,5,1,1,0,8.5,0,6081551,Lakeland
18,MB,3,0,3,0,8,0.375,0,0,0,2,0,0,0,0,3,0,6081551,Lakeland
13,MB,3,0,2,3,12,-0.083,0,0,1,1,0,0,1,0,2.5,0,6081551,Lakeland
4,OH,3,0,3,3,8,0,2,0,0,1,1,0,0,0,3,0,6081551,Lakeland
20,OH,3,0,2,4,6,-0.333,0,1,0,1,0,0,0,0,3,0,6081551,Lakeland
1,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081551,Lakeland
5,OH,3,0,2,2,7,0,1,0,0,5,1,0,0,0,2,0,6081551,Lakeland
11,OH,3,0,0,1,5,-0.2,0,0,3,2,0,0,0,0,0,0,6081551,Lakeland
15,MB,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6081551,Carthage
12,MB,2,0,2,0,7,0.286,0,0,0,1,0,0,0,0,2,0,6081551,Carthage
16,MB,1,0,1,0,2,0.5,0,0,0,1,0,0,0,0,1,0,6081551,Carthage
13,OPP,3,0,10,2,14,0.571,0,0,1,1,0,0,2,0,11,0,6081551,Carthage
2,OH,3,0,10,0,11,0.909,2,0,2,1,1,0,0,0,10,0,6081551,Carthage
8,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081551,Carthage
9,S,3,0,0,0,0,0,18,0,2,6,0,0,0,0,0,0,6081551,Carthage
5,MB,2,0,1,0,2,0.5,0,0,1,0,0,0,0,0,1,0,6081551,Carthage
20,L,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6081551,Carthage
1,L,3,0,0,0,0,0,0,2,3,1,0,0,0,0,2,0,6081551,Carthage
6,S,2,0,0,0,0,0,8,2,2,4,0,0,0,0,2,0,6081551,Carthage
4,L,3,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,6081551,Carthage
24,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081551,Carthage
21,OH,3,0,8,4,16,0.25,4,4,1,2,0,0,2,0,13,0,6081551,Carthage
19,OH,2,0,1,0,4,0.25,0,0,0,0,0,0,0,0,1,0,6081551,Carthage
14,MB,3,0,4,2,6,0.333,1,0,3,0,0,0,4,0,6,0,6081551,Carthage
3,OH,2,0,1,0,2,0.5,0,0,0,0,0,0,0,0,1,0,6081551,Carthage
10,MB,3,0,5,3,15,0.133,0,1,2,1,0,2,0,0,8,0,6081552,Mt. St. Joseph
7,S,3,0,1,2,4,-0.25,22,1,1,4,0,1,0,0,3,0,6081552,Mt. St. Joseph
6,OPP,2,0,0,3,6,-0.5,0,0,0,0,0,0,0,0,0,0,6081552,Mt. St. Joseph
13,OH,3,0,8,5,26,0.115,0,2,2,4,2,0,0,0,10,0,6081552,Mt. St. Joseph
5,DB,3,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,6081552,Mt. St. Joseph
8,OH,3,0,10,2,22,0.364,0,1,3,6,1,1,0,0,12,0,6081552,Mt. St. Joseph
4,OH,3,0,0,3,7,-0.429,0,1,0,3,0,0,0,0,1,0,6081552,Mt. St. Joseph
17,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081552,Mt. St. Joseph
19,MB,3,0,0,0,4,0,0,3,2,0,0,2,0,0,5,0,6081552,Mt. St. Joseph
12,OPP,3,0,7,3,14,0.286,1,2,2,1,0,3,2,0,13,0,6081552,Lancaster Bible
23,OPP,3,0,10,7,24,0.125,0,2,3,3,0,0,2,0,13,0,6081552,Lancaster Bible
4,MB,3,0,0,0,1,0,1,0,0,0,0,0,3,0,1.5,0,6081552,Lancaster Bible
21,OH,3,0,10,1,22,0.409,1,0,1,4,3,0,1,0,10.5,0,6081552,Lancaster Bible
18,L,3,0,0,0,1,0,2,0,0,11,1,0,0,0,0,0,6081552,Lancaster Bible
3,OH,3,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,6081552,Lancaster Bible
10,S,3,0,3,0,5,0.6,31,1,1,6,0,2,0,0,6,0,6081552,Lancaster Bible
24,OH,3,0,10,5,19,0.263,0,1,2,6,1,0,2,0,12,0,6081552,Lancaster Bible
8,S,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,6081549,Calvin
16,OPP,3,0,1,4,7,-0.429,0,0,0,0,0,0,0,0,1,0,6081549,Calvin
21,MB,3,0,3,1,8,0.25,0,0,3,0,0,0,2,0,4,0,6081549,Calvin
5,OH,2,0,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0,6081549,Calvin
20,S,3,0,0,0,2,0,8,0,5,4,0,0,0,0,0,0,6081549,Calvin
17,OPP,3,0,6,2,16,0.25,0,0,3,4,1,0,0,0,6,0,6081549,Calvin
13,S,3,0,0,0,1,0,8,0,0,2,0,0,0,0,0,0,6081549,Calvin
19,OH,3,0,2,7,21,-0.238,0,0,2,2,1,0,0,0,2,0,6081549,Calvin
9,OPP,3,0,2,4,14,-0.143,0,1,0,3,0,0,2,0,4,0,6081549,Calvin
15,OH,3,0,3,3,10,0,0,0,3,2,0,0,0,0,3,0,6081549,Calvin
2,L,3,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,6081549,Calvin
9,MB,3,0,1,0,2,0.5,0,1,1,1,0,0,2,0,3,0,6081549,Cal Lutheran
16,OH,3,0,7,2,15,0.333,0,0,4,3,0,1,1,0,8.5,0,6081549,Cal Lutheran
6,OH,1,0,1,0,3,0.333,0,0,0,0,0,0,0,0,1,0,6081549,Cal Lutheran
10,S,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6081549,Cal Lutheran
13,OH,1,0,2,0,3,0.667,0,0,0,0,0,0,0,0,2,0,6081549,Cal Lutheran
2,L,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,6081549,Cal Lutheran
3,S,3,0,1,1,2,0,20,0,2,7,0,0,1,0,1.5,0,6081549,Cal Lutheran
20,MB,3,0,2,0,5,0.4,0,1,4,3,0,0,1,0,3.5,0,6081549,Cal Lutheran
17,OH,3,0,9,2,14,0.5,0,1,2,5,0,1,1,0,11.5,0,6081549,Cal Lutheran
23,OH,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6081549,Cal Lutheran
7,OH,3,0,4,2,16,0.125,3,0,0,6,1,2,1,0,6.5,0,6081549,Cal Lutheran
18,MB,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,6081549,Cal Lutheran
17,S,4,0,0,1,2,-0.5,28,0,1,9,0,0,1,0,0.5,0,6081554,Wis. Lutheran
2,OH,3,0,4,1,7,0.429,2,0,3,2,1,0,0,0,4,0,6081554,Wis. Lutheran
7,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081554,Wis. Lutheran
14,MB,1,0,0,1,1,-1,0,0,1,0,0,0,0,0,0,0,6081554,Wis. Lutheran
11,OH,2,0,2,2,4,0,0,1,1,1,1,0,0,0,3,0,6081554,Wis. Lutheran
12,OPP,2,0,1,1,3,0,0,0,1,0,0,0,1,0,1.5,0,6081554,Wis. Lutheran
1,OH,4,0,10,8,24,0.083,5,2,4,4,1,0,0,0,12,1,6081554,Wis. Lutheran
8,OPP,4,0,18,8,40,0.25,0,0,3,7,0,2,1,0,20.5,0,6081554,Wis. Lutheran
3,L,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,6081554,Wis. Lutheran
5,MB,1,0,1,0,3,0.333,0,0,0,0,0,0,0,0,1,0,6081554,Wis. Lutheran
16,S,2,0,1,0,1,1,6,1,2,0,0,0,0,0,2,0,6081554,Wis. Lutheran
20,MB,2,0,1,0,2,0.5,2,0,1,2,0,1,1,0,2.5,0,6081554,Wis. Lutheran
15,MB,4,0,8,3,18,0.278,0,1,3,0,0,1,2,0,11,0,6081554,Wis. Lutheran
4,OH,4,0,11,8,25,0.12,1,1,1,2,1,0,3,0,13.5,0,6081554,Mount Union
9,MB,3,0,7,3,15,0.267,0,0,1,0,0,1,2,0,9,0,6081554,Mount Union
15,MB,2,0,2,0,4,0.5,1,0,1,0,0,0,2,0,3,0,6081554,Mount Union
18,OH,4,0,4,5,19,-0.053,1,2,1,2,2,0,0,0,6,0,6081554,Mount Union
7,S,3,0,3,0,5,0.6,26,1,2,2,0,0,0,0,4,0,6081554,Mount Union
16,S,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0.5,0,6081554,Mount Union
6,L,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6081554,Mount Union
5,OPP,3,0,8,2,18,0.333,1,1,2,4,0,0,2,0,10,0,6081554,Mount Union
11,OH,1,0,1,2,6,-0.167,0,0,0,0,0,0,0,0,1,0,6081554,Mount Union
10,MB,4,0,3,0,7,0.429,1,1,2,2,0,2,2,0,7,0,6081554,Mount Union
13,MB,3,0,6,3,13,0.231,0,1,4,0,0,0,0,0,7,0,6081550,Thiel
5,OH,5,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,6081550,Thiel
6,OPP,3,0,5,5,14,0,0,0,0,1,0,0,0,1,5,0,6081550,Thiel
18,OH,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6081550,Thiel
35,MB,4,0,6,5,16,0.063,0,1,3,7,0,1,1,1,8.5,0,6081550,Thiel
21,S,5,0,4,3,9,0.111,41,0,4,15,0,2,3,2,7.5,0,6081550,Thiel
12,OH,5,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,6081550,Thiel
2,OH,5,0,16,5,47,0.234,2,1,5,9,0,0,0,0,17,0,6081550,Thiel
23,S,4,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,6081550,Thiel
51,MB,5,0,8,0,19,0.421,0,0,0,1,0,0,2,2,9,0,6081550,Thiel
15,L/DS,5,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,6081550,Thiel
20,OPP,5,0,12,9,30,0.1,1,0,1,6,0,0,0,0,12,0,6081550,Thiel
7,OH,5,0,7,6,21,0.048,0,0,4,7,0,0,1,0,7.5,0,6081550,Concordia Chicago
1,OH,3,0,3,1,14,0.143,0,0,0,5,0,1,0,0,4,0,6081550,Concordia Chicago
4,L,5,0,1,0,1,1,0,0,6,4,0,0,0,0,1,0,6081550,Concordia Chicago
8,MB,5,0,6,3,23,0.13,0,2,2,1,0,0,4,0,10,0,6081550,Concordia Chicago
15,OH,5,0,0,1,3,-0.333,1,0,0,8,1,0,0,0,0,0,6081550,Concordia Chicago
18,MB,5,0,4,1,12,0.25,0,0,4,1,0,1,3,0,6.5,0,6081550,Concordia Chicago
10,OH,5,0,14,7,42,0.167,0,0,4,11,2,1,2,0,16,0,6081550,Concordia Chicago
11,S,5,0,0,1,5,-0.2,44,0,1,11,0,0,1,1,0.5,0,6081550,Concordia Chicago
17,MB,5,0,13,4,27,0.333,0,0,2,2,0,0,4,0,15,0,6081550,Concordia Chicago
3,MB,3,0,2,0,5,0.4,0,0,1,0,1,0,0,0,2,0,6081555,St. Norbert
5,L/DS,3,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,6081555,St. Norbert
24,OH,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6081555,St. Norbert
21,DB,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,6081555,St. Norbert
18,OH,3,0,0,3,10,-0.3,0,0,0,0,1,0,0,0,0,0,6081555,St. Norbert
22,OH,3,0,12,2,20,0.5,1,0,1,8,1,0,0,0,12,0,6081555,St. Norbert
8,OH,3,0,8,7,21,0.048,0,0,2,3,2,0,0,0,8,0,6081555,St. Norbert
10,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081555,St. Norbert
6,MB,3,0,5,1,10,0.4,0,0,0,1,0,2,0,0,7,0,6081555,St. Norbert
15,L/DS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081555,St. Norbert
11,OH,3,0,1,5,11,-0.364,0,1,0,1,0,0,0,0,2,0,6081555,St. Norbert
20,OH,3,0,0,0,3,0,21,0,1,3,1,0,0,0,0,0,6081555,St. Norbert
15,MB,3,0,7,3,13,0.308,0,0,0,1,0,1,3,0,9.5,0,6081555,Carthage
12,MB,3,0,6,1,9,0.556,0,1,3,1,0,0,3,0,8.5,1,6081555,Carthage
16,MB,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,6081555,Carthage
13,OPP,3,0,5,1,12,0.333,0,0,0,2,0,0,1,0,5.5,0,6081555,Carthage
2,OH,3,0,11,1,17,0.588,1,3,6,5,0,0,0,0,14,0,6081555,Carthage
8,OH,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,6081555,Carthage
9,S,3,0,0,0,0,0,16,2,2,0,0,0,1,0,2.5,0,6081555,Carthage
20,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6081555,Carthage
1,L,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6081555,Carthage
6,S,3,0,1,0,1,1,21,0,1,4,0,0,1,0,1.5,0,6081555,Carthage
4,L,3,0,0,0,0,0,4,0,0,8,1,0,0,0,0,0,6081555,Carthage
24,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6081555,Carthage
21,OH,3,0,10,1,19,0.474,2,1,1,5,0,0,2,0,12,0,6081555,Carthage
14,MB,3,0,3,1,6,0.333,0,0,2,0,0,0,3,0,4.5,0,6081555,Carthage
9,OH,3,0,12,2,23,0.435,1,0,3,8,0,1,2,0,14,0,6081557,St. John Fisher
21,S,3,0,2,0,5,0.4,1,2,1,1,0,0,0,0,4,0,6081557,St. John Fisher
19,S,3,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,6081557,St. John Fisher
5,OH,3,0,5,1,11,0.364,1,1,2,5,0,0,0,0,6,0,6081557,St. John Fisher
7,OH,1,0,1,2,4,-0.25,0,0,0,0,1,0,0,0,1,0,6081557,St. John Fisher
6,OPP,3,0,4,4,10,0,0,0,1,6,0,0,0,0,4,0,6081557,St. John Fisher
12,L/DS,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,6081557,St. John Fisher
8,S,3,0,1,0,6,0.167,27,1,3,5,0,1,0,0,3,0,6081557,St. John Fisher
17,MB,3,0,9,0,12,0.75,0,0,2,2,0,1,1,0,10.5,0,6081557,St. John Fisher
3,OH,3,0,7,1,13,0.462,2,0,1,1,0,3,1,0,10.5,0,6081557,St. John Fisher
15,OH,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6081557,St. John Fisher
20,OPP,3,0,11,3,33,0.242,0,1,2,4,0,0,0,0,12,0,6081557,Trine
21,MB,3,0,4,4,9,0,0,0,1,0,0,0,0,0,4,0,6081557,Trine
1,OH,2,0,1,1,12,0,0,0,0,2,1,0,0,0,1,0,6081557,Trine
