#,P,S,MS,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id,team_name
4,DB,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4473152,Wells
8,MB,4,0,5,7,20,-0.1,0,0,4,5,2,0,0,0,5,0,4473152,Wells
13,MB,4,0,6,5,30,0.033,1,0,2,4,0,1,0,0,7,0,4473152,Wells
7,MB,4,0,4,2,14,0.143,0,0,0,2,0,0,0,0,4,0,4473152,Wells
11,OH,4,0,12,1,22,0.5,1,0,2,5,5,0,0,0,12,0,4473152,Wells
18,S,4,0,6,1,12,0.417,24,0,0,11,0,0,0,0,6,0,4473152,Wells
2,L,4,0,4,2,16,0.125,5,1,3,4,0,0,0,0,5,0,4473152,Wells
8,OH,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4473152,SUNY Potsdam
6,S,4,0,0,2,4,-0.5,23,0,1,6,0,0,1,0,0.5,0,4473152,SUNY Potsdam
25,OH,3,0,5,1,14,0.286,1,0,1,11,0,0,1,0,5.5,0,4473152,SUNY Potsdam
1,OH,2,0,6,4,10,0.2,0,0,2,3,0,0,0,0,6,0,4473152,SUNY Potsdam
17,MB,1,0,3,0,3,1,0,0,0,0,0,0,0,0,3,0,4473152,SUNY Potsdam
10,MB,3,0,16,1,21,0.714,0,2,2,3,0,2,4,0,22,0,4473152,SUNY Potsdam
2,S,2,0,0,0,0,0,23,2,2,2,0,0,1,0,2.5,0,4473152,SUNY Potsdam
42,OH,3,0,2,1,7,0.143,2,1,1,5,0,0,1,0,3.5,0,4473152,SUNY Potsdam
15,MB,1,0,1,0,2,0.5,0,0,1,0,0,0,0,0,1,0,4473152,SUNY Potsdam
20,OH,1,0,2,2,4,0,0,0,1,0,0,0,0,0,2,0,4473152,SUNY Potsdam
11,MB,2,0,0,2,6,-0.333,0,1,0,2,0,0,0,0,1,0,4473152,SUNY Potsdam
18,MB,2,0,0,0,4,0,1,1,1,0,0,0,0,0,1,0,4473152,SUNY Potsdam
7,OH,3,0,3,2,6,0.167,0,0,1,1,0,0,0,0,3,1,4473152,SUNY Potsdam
14,OPP,3,0,1,3,5,-0.4,1,0,0,5,1,0,0,0,1,1,4473152,SUNY Potsdam
4,OH,3,0,13,3,24,0.417,0,1,2,6,0,0,0,0,14,0,4473152,SUNY Potsdam
15,S,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4473153,Hobart
12,S,3,0,0,0,1,0,34,0,3,10,0,0,0,0,0,1,4473153,Hobart
13,MB,3,0,2,1,3,0.333,1,1,0,3,0,0,1,0,3.5,0,4473153,Hobart
4,OH,3,0,21,5,33,0.485,2,4,3,5,0,0,0,0,25,0,4473153,Hobart
2,OH,3,0,1,1,3,0,0,1,3,0,0,0,1,0,2.5,0,4473153,Hobart
1,L,3,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,4473153,Hobart
9,OH,3,0,12,8,30,0.133,1,0,2,2,0,0,0,0,12,0,4473153,Hobart
7,OH,3,0,6,3,15,0.2,0,1,3,6,0,0,2,0,8,0,4473153,Hobart
6,S,3,0,0,0,0,0,8,0,1,2,0,0,0,0,0,0,4473153,SUNY Potsdam
25,OH,2,0,1,0,4,0.25,0,0,1,3,2,0,1,0,1.5,0,4473153,SUNY Potsdam
1,OH,2,0,0,4,11,-0.364,0,0,0,2,3,0,0,0,0,0,4473153,SUNY Potsdam
17,MB,1,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,4473153,SUNY Potsdam
10,MB,3,0,6,5,13,0.077,0,2,1,4,0,1,0,0,9,0,4473153,SUNY Potsdam
2,S,3,0,0,0,1,0,7,0,1,1,0,0,1,0,0.5,0,4473153,SUNY Potsdam
42,OH,3,0,1,1,3,0,0,0,1,0,0,0,1,0,1.5,0,4473153,SUNY Potsdam
11,MB,3,0,3,1,9,0.222,0,0,1,1,0,1,3,0,5.5,0,4473153,SUNY Potsdam
3,OH,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4473153,SUNY Potsdam
7,OH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473153,SUNY Potsdam
14,OPP,3,0,0,1,1,-1,0,0,0,1,1,0,0,0,0,0,4473153,SUNY Potsdam
4,OH,3,0,2,3,18,-0.056,0,0,1,4,2,0,0,0,2,0,4473153,SUNY Potsdam
5,OH,3,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,4473154,Regis (MA)
14,OH,5,0,4,1,11,0.273,0,2,2,2,0,1,1,1,7.5,0,4473154,Regis (MA)
7,S,5,0,1,0,3,0.333,44,2,2,7,0,0,0,0,3,0,4473154,Regis (MA)
4,OPP,3,0,2,2,5,0,0,0,0,1,0,0,0,0,2,0,4473154,Regis (MA)
2,DB,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4473154,Regis (MA)
8,OPP,5,0,8,4,24,0.167,0,0,0,4,0,1,3,1,10.5,0,4473154,Regis (MA)
