"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"6081556","Wittenberg","Roanoke","Pam Evans Smith (Springfield, OH)","01/10/2025 05:00 PM","0",25,25,25,NA,NA,19,17,13,NA,NA,""
"6081551","Carthage","Lakeland","Tarble Arena (Kenosha, WI)","01/10/2025 05:30 PM","345",25,25,25,NA,NA,21,9,15,NA,NA,""
"6081552","Lancaster Bible","Mt. St. Joseph","Hershey Hall (Angola, IN)","01/10/2025 05:30 PM","32",25,26,25,NA,NA,21,24,16,NA,NA,"at Angola, IN"
"6081549","Cal Lutheran","Calvin","Gilbert Arena (Thousand Oaks, CA)","01/10/2025 06:00 PM","200",25,25,25,NA,NA,14,14,11,NA,NA,""
"6081554","Mount Union","Wis. Lutheran","Gilbert Arena (Thousand Oaks, CA)","01/10/2025 06:00 PM","50",25,25,18,25,NA,22,17,25,18,NA,"at Thousand Oaks, CA"
"6081550","Concordia Chicago","Thiel","Pam Evans Smith (Springfield, OH)","01/10/2025 07:30 PM","0",17,25,22,25,12,25,20,25,23,15,"at Springfield, OH"
"6081555","Carthage","St. Norbert","Tarble Arena (Kenosha, WI)","01/10/2025 08:00 PM","365",25,25,27,NA,NA,16,15,25,NA,NA,""
"6081557","Trine","St. John Fisher","Hershey Hall (Angola, IN)","01/10/2025 08:00 PM","144",12,16,18,NA,NA,25,25,25,NA,NA,""
"6081558","UC Santa Cruz","Wis. Lutheran","Gilbert Arena (Thousand Oaks, CA)","01/10/2025 09:00 PM","60",25,25,25,NA,NA,17,18,21,NA,NA,"at Thousand Oaks, CA"
"6081553","Cal Lutheran","Mount Union","Gilbert Arena (Thousand Oaks, CA)","01/10/2025 09:00 PM","175",25,25,18,24,11,13,21,25,26,15,""
"6081559","Trine","Lancaster Bible","Hershey Hall (Angola, IN)","01/11/2025 09:00 AM","107",21,25,25,25,9,25,22,27,18,15,""
"6081560","Wilkes","Eastern","Marts Center (Wilkes-Barre, PA)","01/11/2025 10:00 AM","78",20,24,25,10,NA,25,26,23,25,NA,""
"6081562","Juniata","Hiram","Memorial Gymnasium (Huntingdon, PA)","01/11/2025 11:00 AM","123",25,25,25,NA,NA,15,12,17,NA,NA,""
"6081561","Wittenberg","Concordia Chicago","Pam Evans Smith (Springfield, OH)","01/11/2025 11:00 AM","0",25,25,25,NA,NA,23,14,17,NA,NA,""
"6081563","Nazareth","Lasell","Wildcat Field House (Marcy, NY)","01/11/2025 11:00 AM","68",16,24,25,16,NA,25,26,17,25,NA,"at Marcy, NY"
"6081565","Thiel","Roanoke","Pam Evans Smith (Springfield, OH)","01/11/2025 11:00 AM","50",25,23,19,25,11,16,25,25,15,15,"at Springfield, OH"
"6081564","Buffalo St.","Misericordia","Wildcat Field House (Marcy, NY)","01/11/2025 11:00 AM","109",11,28,23,17,NA,25,26,25,25,NA,"at Marcy, NY"
"6081570","Eastern","Elmira","Marts Center (Wilkes-Barre, PA)","01/11/2025 12:00 PM","65",25,25,21,22,8,23,21,25,25,15,"at Wilkes-Barre, PA"
"6081567","Lancaster Bible","St. John Fisher","Hershey Hall (Angola, IN)","01/11/2025 12:00 PM","56",23,16,22,NA,NA,25,25,25,NA,NA,"at Angola, IN"
