Name,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id
Earlham,4,55,17,159,0.239,53,6,12,91,74,4,6,6,1,70,0,5668262
Capital,4,41,25,168,0.095,37,4,7,77,85,6,1,4,1,48,0,5668262
Bryn Mawr,3,24,14,81,0.123,23,8,6,29,67,12,0,14,1,39,0,5668275
Arcadia,3,41,17,99,0.242,39,12,7,37,54,8,0,0,0,53,0,5668275
DeSales,4,52,30,182,0.121,50,7,12,98,84,7,1,12,0,66,0,5668278
Cedar Crest,4,37,30,176,0.04,36,7,6,91,87,7,3,8,3,51,0,5668278
Spalding,5,62,32,207,0.145,59,9,11,102,98,8,2,8,0,77,1,5668279
Berea,5,55,26,196,0.148,49,8,8,92,96,9,0,8,5,67,0,5668279
Washington Col.,5,56,21,169,0.207,48,10,19,66,93,8,8,10,0,79,0,5668280
Catholic,5,44,29,146,0.103,42,8,4,79,83,10,6,8,0,62,0,5668280
Neumann,3,22,22,81,0,22,6,7,28,66,9,0,0,0,28,1,5668281
Ursinus,3,32,6,72,0.361,31,9,8,34,38,6,3,4,3,46,1,5668281
Mount Union,5,65,35,231,0.13,64,3,5,114,107,1,9,16,1,85,0,5668282
CWRU,5,69,30,227,0.172,65,1,3,115,99,3,9,20,0,89,0,5668282
Paul Smiths,3,24,27,102,-0.029,23,12,2,45,65,10,1,2,0,38,0,5668284
SUNY Canton,3,32,12,95,0.211,31,10,8,44,58,12,2,8,0,48,0,5668284
Roger Williams,4,48,23,149,0.168,45,11,16,69,77,8,1,8,4,64,0,5668286
JWU (Providence),4,41,23,138,0.13,39,8,15,67,82,11,0,12,0,55,1,5668286
Lebanon Valley,4,47,23,150,0.16,44,11,7,75,79,9,0,12,2,64,0,5668258
Elizabethtown,4,44,19,150,0.167,39,9,7,76,80,11,0,8,1,57,2,5668258
St. Catherine,3,38,19,113,0.168,31,6,6,45,49,3,0,4,0,46,0,5668260
Wis.-Stout,3,30,15,100,0.15,28,3,14,41,67,6,1,8,0,38,0,5668260
Rose-Hulman,5,48,30,176,0.102,44,11,12,80,91,9,2,2,0,62,0,5668285
Webster,5,50,23,159,0.17,46,9,11,91,82,11,1,12,0,66,0,5668285
Knox,3,19,13,68,0.088,15,2,6,29,60,8,1,6,0,25,0,5668265
Loras,3,44,11,92,0.359,36,8,14,31,44,2,4,0,0,56,0,5668265
Beloit,5,46,17,144,0.201,39,21,10,53,80,12,0,4,0,69,1,5668271
Alverno,5,43,12,114,0.272,36,12,9,65,84,21,2,4,0,59,0,5668271
Carleton,4,53,29,156,0.154,45,6,12,61,89,11,0,8,0,63,1,5668283
Bethany Lutheran,4,41,22,131,0.145,37,11,8,63,79,6,4,18,1,65,0,5668283
UChicago,3,50,14,111,0.324,48,5,17,43,65,7,0,8,0,59,0,5668263
Carthage,3,31,16,99,0.152,27,7,7,37,60,5,3,10,0,46,0,5668263
Wis.-Oshkosh,3,45,16,111,0.261,44,8,9,54,44,1,2,12,0,61,0,5668289
Lakeland,3,18,18,98,0,17,1,1,44,65,8,0,4,0,21,0,5668289
St. Norbert,4,47,18,142,0.204,42,6,9,60,93,9,2,4,1,57,1,5668287
Wis.-Stevens Point,4,58,16,145,0.29,56,9,5,71,72,6,2,4,0,71,1,5668287
Cornell College,4,46,18,147,0.19,45,7,13,70,71,1,4,6,0,60,0,5668288
Dubuque,4,46,28,153,0.118,45,1,9,74,80,7,0,6,0,50,0,5668288
Linfield,3,32,15,84,0.202,31,15,6,36,56,9,4,2,0,52,0,5697331
Warner Pacific,3,26,18,83,0.096,25,9,8,34,67,15,2,2,0,38,0,5697331
Baruch,4,34,25,133,0.068,32,10,13,46,82,13,1,0,0,45,0,5668290
Centenary (NJ),4,33,13,113,0.177,27,13,11,52,63,10,2,4,2,50,0,5668290
Rivier,3,21,20,89,0.011,20,5,6,47,64,6,0,4,0,28,0,5668344
Wellesley,3,42,9,103,0.32,40,6,10,45,40,5,0,6,1,51,0,5668344
St. Joseph's (L.I.),3,37,14,116,0.198,34,4,14,44,69,12,2,4,0,45,1,5668342
Hunter,3,33,17,111,0.144,31,12,7,49,56,4,2,2,1,48,0,5668342
Worcester St.,4,44,26,131,0.137,38,9,9,58,76,11,1,6,2,57,0,5668338
Framingham St.,4,38,27,133,0.083,36,11,11,54,85,9,2,0,1,51,0,5668338
Warren Wilson,3,22,17,106,0.047,19,3,8,59,66,12,2,4,5,29,0,5668347
Brevard,3,37,27,133,0.075,35,12,7,65,56,3,2,2,0,52,0,5668347
St. Joseph's (Brkln),3,25,8,53,0.321,23,31,11,25,25,2,0,0,0,56,0,5668382
York (NY),3,7,12,47,-0.106,3,2,5,17,62,31,1,0,2,10,0,5668382
Rutgers-Newark,5,34,22,138,0.087,31,13,18,66,95,17,4,8,1,55,1,5668348
Farmingdale St.,5,50,28,157,0.14,45,17,14,76,73,13,1,6,0,71,0,5668348
Elms,3,13,19,71,-0.085,12,1,3,33,68,13,0,0,0,14,0,5668346
Wentworth,3,40,4,82,0.439,37,13,5,34,23,1,0,4,1,55,0,5668346
Penn St.-York,4,35,20,123,0.122,34,6,8,73,86,13,3,4,4,46,1,5668336
