"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Fort Valley St.",3,0,23,17,78,0.077,20,0,12,12,6,1,0,2,24,0,"4473120"
"Southern California",3,0,39,6,60,0.55,39,6,9,30,0,2,10,1,52,0,"4473120"
"Grand Canyon",3,0,36,12,74,0.324,34,7,10,23,3,2,8,1,49,0,"4473122"
"UC San Diego",3,0,32,19,79,0.165,32,3,13,23,7,4,9,1,43.5,0,"4473122"
"Thomas More",3,0,18,10,60,0.133,17,0,10,16,9,1,4,3,21,0,"4473124"
"Purdue Fort Wayne",3,0,44,10,73,0.466,39,9,18,21,0,1,0,1,54,0,"4473124"
"Lewis",3,0,35,5,56,0.536,31,11,11,21,2,1,16,2,55,0,"4473126"
"Central St. (OH)",3,0,12,19,58,-0.121,11,2,9,11,11,0,0,1,14,0,"4473126"
"George Mason",5,0,53,17,114,0.316,51,6,15,36,3,1,16,1,68,0,"4473123"
"UC Santa Barbara",5,0,62,22,125,0.32,56,3,21,36,6,2,9,1,71.5,0,"4473123"
"Morehouse",3,0,11,21,59,-0.169,10,1,5,7,15,0,2,2,13,0,"4473125"
"Pepperdine",3,0,32,2,43,0.698,29,15,4,24,1,0,16,1,55,0,"4473125"
"Ball St.",3,0,31,13,73,0.247,30,0,16,18,4,2,6,4,36,0,"4473127"
"BYU",3,0,39,15,78,0.308,37,4,13,24,0,3,5,0,48.5,0,"4473127"
"NJIT",4,0,35,21,84,0.167,35,4,21,22,9,1,8,1,44,0,"4473129"
"CSUN",4,0,43,16,83,0.325,42,9,29,20,4,3,14,1,62,1,"4473129"
"Loyola Chicago",5,0,53,17,116,0.31,50,6,14,31,11,2,9,0,65.5,0,"4473128"
"Hawaii",5,0,66,13,113,0.469,66,11,27,35,6,2,10,1,84,1,"4473128"
"Morehouse",3,0,16,15,46,0.022,15,1,13,5,14,0,0,1,17,1,"4473130"
"Southern California",3,0,32,5,44,0.614,30,14,13,10,1,0,12,2,52,0,"4473130"
"George Mason",4,0,48,17,98,0.316,44,4,24,29,8,2,14,1,61,0,"4473131"
"CSUN",4,0,47,21,103,0.252,45,8,32,26,4,4,15,2,66.5,0,"4473131"
"Lewis",5,0,62,23,140,0.279,59,3,22,43,5,5,12,4,76,0,"4473136"
"Penn St.",5,0,70,22,140,0.343,68,5,27,46,3,2,19,0,86.5,0,"4473136"
"North Greenville",3,0,37,19,93,0.194,35,3,14,20,4,3,4,0,45,0,"4473134"
"Purdue Fort Wayne",3,0,39,14,80,0.313,39,4,12,29,3,0,17,2,51.5,0,"4473134"
"NJIT",5,0,59,31,145,0.193,58,10,26,48,5,2,6,2,74,0,"4473132"
"UC San Diego",5,0,58,17,135,0.304,55,5,26,39,10,3,36,3,84,0,"4473132"
"Ball St.",3,0,30,25,75,0.067,30,1,14,21,6,0,10,3,36,0,"4473133"
"BYU",3,0,29,7,58,0.379,26,6,14,18,1,2,11,2,42.5,0,"4473133"
"Grand Canyon",4,0,48,13,104,0.337,47,8,20,45,6,2,12,2,64,0,"4473135"
"UC Santa Barbara",4,0,44,20,113,0.212,36,6,19,38,8,1,6,2,54,0,"4473135"
"Daemen",4,0,37,16,94,0.223,35,6,15,30,8,1,23,2,55.5,0,"4473137"
"Ohio St.",4,0,51,26,113,0.221,49,8,16,34,6,2,12,1,67,1,"4473137"
"Loyola Chicago",3,0,29,14,69,0.217,28,3,21,14,7,0,8,1,36,0,"4473139"
"Stanford",3,0,32,8,56,0.429,29,7,12,24,3,2,9,1,45.5,0,"4473139"
"Princeton",3,0,38,18,85,0.235,36,16,11,25,5,0,6,0,57,0,"4473141"
"Queens (NC)",3,0,25,10,65,0.231,20,5,9,23,16,0,19,0,39.5,0,"4473141"
"Saint Francis",4,0,44,14,109,0.275,41,3,22,24,7,0,10,2,52,0,"4473142"
"Ohio St.",4,0,56,13,98,0.439,55,8,20,36,3,1,4,2,67,0,"4473142"
"Loyola Chicago",5,0,55,22,120,0.275,52,11,19,21,9,2,7,1,71.5,0,"4473140"
"Stanford",5,0,58,14,101,0.436,56,9,19,34,11,1,14,3,75,1,"4473140"
"George Mason",5,0,59,29,136,0.221,56,10,20,30,4,0,17,3,77.5,0,"4473143"
"UC Irvine",5,0,53,22,112,0.277,51,4,16,35,10,1,26,0,71,0,"4473143"
"Princeton",4,0,50,10,100,0.4,48,12,24,31,4,1,27,1,76.5,0,"4473145"
"Queens (NC)",4,0,33,23,100,0.1,29,4,8,34,12,1,8,1,42,0,"4473145"
"Thomas More",3,0,21,12,54,0.167,19,1,9,6,3,1,0,0,23,1,"4473144"
"Lincoln Memorial",3,0,49,11,72,0.528,43,3,17,17,1,1,16,0,61,0,"4473144"
"Erskine",3,0,40,17,79,0.291,39,2,14,24,1,4,4,0,48,0,"4473147"
"Tusculum",3,0,30,19,77,0.143,29,1,14,16,2,3,12,1,40,1,"4473147"
"Stevens",4,0,48,16,101,0.317,43,5,8,46,7,3,12,2,62,0,"4473149"
"Sacred Heart",4,0,51,20,129,0.24,43,7,23,33,5,3,2,1,62,0,"4473149"
"Saint Francis",3,0,40,10,85,0.353,36,2,14,22,8,0,10,1,47,0,"4473148"
"UC Irvine",3,0,43,14,89,0.326,42,8,10,30,2,1,16,2,60,0,"4473148"
"LIU",3,0,21,17,70,0.057,20,5,19,25,4,0,14,0,33,1,"4473151"
"CUI",3,0,37,16,87,0.241,34,4,23,27,5,0,7,0,44.5,0,"4473151"
"Emmanuel (GA)",3,0,16,18,65,-0.031,15,1,11,18,12,3,7,1,23.5,0,"4473150"
"Hawaii",3,0,31,18,73,0.178,26,12,10,25,1,1,16,2,52,0,"4473150"
"Regis (MA)",5,0,53,29,139,0.173,52,4,16,47,2,6,8,5,67,0,"4473154"
"American Int'l",5,0,60,28,140,0.229,59,2,21,48,4,3,12,3,71,0,"4473154"
"Lees-McRae",3,0,18,15,54,0.056,18,1,14,14,11,0,6,1,22,0,"4473160"
"Penn St.",3,0,34,8,59,0.441,31,11,20,18,1,0,13,0,51.5,0,"4473160"
"Kentucky St.",3,0,24,23,92,0.011,20,4,11,32,4,4,2,0,33,2,"4473156"
"Thomas More",3,0,34,11,83,0.277,32,4,14,39,4,1,4,0,41,1,"4473156"
"UC San Diego",3,0,36,12,82,0.293,35,1,11,14,4,0,0,0,37,0,"4473159"
"Ball St.",3,0,51,6,75,0.6,48,4,16,24,1,0,13,1,61.5,0,"4473159"
"BYU",5,0,61,24,126,0.294,60,5,16,47,9,0,19,1,75.5,0,"4473157"
"Loyola Chicago",5,0,62,21,139,0.295,56,9,22,34,5,0,23,5,82.5,0,"4473157"
"UCLA",4,0,41,18,101,0.228,35,14,21,28,6,1,28,0,70,1,"4473162"
"Lewis",4,0,51,21,110,0.273,48,6,24,36,14,2,9,0,63.5,0,"4473162"
"Harvard",4,0,44,24,106,0.189,41,6,18,36,5,3,7,1,56.5,0,"4473158"
"Southern California",4,0,49,17,104,0.308,43,5,17,29,6,2,21,2,66.5,0,"4473158"
"Belmont Abbey",5,0,52,17,118,0.297,47,9,23,42,4,4,24,0,77,0,"4473163"
"FDU",5,0,55,27,130,0.215,51,4,23,43,9,2,6,1,64,0,"4473163"
"Barton",4,0,43,23,99,0.202,39,9,11,30,7,2,16,2,62,0,"4473169"
"FDU",4,0,49,24,115,0.217,40,7,14,26,9,1,18,2,66,0,"4473169"
"King (TN)",3,0,14,22,62,-0.129,13,4,10,10,6,1,2,0,20,1,"4473168"
"NJIT",3,0,36,12,61,0.393,28,6,12,16,4,2,17,0,52.5,0,"4473168"
"St. Thomas Aquinas",3,0,22,18,78,0.051,21,1,16,17,5,1,9,1,28.5,0,"4473166"
"Belmont Abbey",3,0,34,18,74,0.216,32,5,10,32,1,0,13,1,45.5,0,"4473166"
"Lees-McRae",5,0,61,30,162,0.191,54,7,16,69,4,4,4,1,74,0,"4473176"
"Saint Vincent",5,0,53,21,153,0.209,50,4,14,62,7,11,4,0,70,0,"4473176"
"Tusculum",4,0,41,23,116,0.155,40,2,16,38,5,3,6,0,49,1,"4492247"
"Ball St.",4,0,47,23,118,0.203,44,5,9,41,2,1,13,0,59.5,1,"4492247"
"Queens (NC)",3,0,29,12,86,0.198,25,6,10,31,6,2,10,0,42,0,"4473174"
"Charleston (WV)",3,0,49,14,99,0.354,45,6,16,41,6,0,12,0,61,0,"4473174"
"Purdue Fort Wayne",4,0,48,9,87,0.448,47,7,19,22,5,1,17,0,64.5,0,"4473178"
"Sacred Heart",4,0,52,23,103,0.282,50,5,21,25,7,2,0,0,59,0,"4473178"
"Edward Waters",5,0,63,22,126,0.325,57,1,12,34,9,0,8,10,68,0,"4473181"
"Erskine",5,0,56,20,117,0.308,52,9,16,29,1,4,16,2,77,0,"4473181"
"Lindenwood",4,0,47,14,94,0.351,44,1,23,21,5,3,2,1,52,0,"4473175"
"Grand Canyon",4,0,56,16,100,0.4,49,5,13,29,1,0,6,0,64,0,"4473175"
"Dominican (IL)",3,0,28,20,76,0.105,26,4,12,23,5,3,2,0,36,0,"4473185"
"Quincy",3,0,38,14,87,0.276,34,5,13,25,4,9,2,1,53,1,"4473185"
"Stanford",5,0,59,25,143,0.238,58,8,26,46,6,5,22,3,83,0,"4473177"
"UC Santa Barbara",5,0,50,24,131,0.198,46,6,16,47,8,1,14,1,64,0,"4473177"
"Harvard",4,0,41,17,89,0.27,39,4,9,27,9,0,11,1,50.5,0,"4473173"
"CSUN",4,0,63,17,114,0.404,56,9,23,25,4,1,16,4,81,0,"4473173"
"Springfield",3,0,25,22,69,0.043,24,3,15,13,5,1,9,3,33.5,0,"4473184"
"CUI",3,0,31,13,62,0.29,30,5,19,17,3,4,13,2,46.5,0,"4473184"
"LIU",3,0,27,20,86,0.081,26,3,11,29,6,1,6,3,34,1,"4473179"
"Long Beach St.",3,0,36,11,82,0.305,35,6,12,23,3,4,10,2,51,0,"4473179"
"Emmanuel (GA)",3,0,12,21,57,-0.158,11,3,7,9,14,0,0,0,15,0,"4473182"
"Hawaii",3,0,33,7,53,0.491,32,14,11,20,3,1,13,2,54.5,0,"4473182"
"BYU",5,0,47,16,113,0.274,42,9,18,34,9,0,16,0,64,1,"4473189"
"Lewis",5,0,47,24,111,0.207,45,9,21,37,9,0,12,0,62,0,"4473189"
"Barton",3,0,31,13,86,0.209,27,7,10,31,5,4,14,0,49,0,"4473191"
"St. Thomas Aquinas",3,0,34,23,93,0.118,31,5,10,37,7,0,7,0,42.5,2,"4473191"
"Belmont Abbey",3,0,35,9,74,0.351,33,8,11,20,1,1,8,2,48,0,"4473164"
"Sacred Heart",3,0,39,16,83,0.277,33,1,16,26,8,2,2,0,43,0,"4473164"
"Kentucky St.",3,0,25,23,87,0.023,24,2,13,25,2,1,4,1,30,1,"4473196"
"Maryville (MO)",3,0,34,11,74,0.311,33,2,5,33,2,1,13,0,43.5,0,"4473196"
"St. Thomas Aquinas",3,0,23,19,70,0.057,22,4,12,16,9,0,4,1,29,0,"4473207"
"FDU",3,0,34,11,65,0.354,31,9,12,23,4,3,8,2,50,0,"4473207"
"Roanoke",3,0,19,25,65,-0.092,19,3,15,17,6,1,6,0,26,0,"4473216"
"Mount Olive",3,0,25,10,58,0.259,21,6,10,19,3,0,10,0,36,0,"4473216"
"King (TN)",3,0,20,16,72,0.056,20,2,12,11,4,2,4,1,26,1,"4473214"
"Penn St.",3,0,42,11,69,0.449,40,4,18,29,2,2,4,0,50,0,"4473214"
"Barton",5,0,40,24,124,0.129,38,10,16,30,4,6,14,1,63,0,"4473217"
"Sacred Heart",5,0,59,37,132,0.167,56,4,17,46,10,4,8,2,71,0,"4473217"
"Mount Olive",3,0,34,7,69,0.391,31,7,17,37,2,2,6,1,46,0,"4473223"
"Randolph-Macon",3,0,17,25,89,-0.09,16,2,9,25,7,1,2,3,21,0,"4473223"
"Tusculum",3,0,22,18,70,0.057,21,0,8,23,8,2,4,2,26,0,"4473226"
"Ball St.",3,0,40,12,78,0.359,37,8,10,26,0,1,10,1,54,0,"4473226"
"Purdue Fort Wayne",5,0,52,18,123,0.276,47,6,15,31,6,1,13,0,65.5,1,"4473231"
"NJIT",5,0,74,14,126,0.476,66,6,24,42,6,2,15,0,89.5,0,"4473231"
"UC San Diego",5,0,39,15,113,0.212,34,4,18,26,9,2,19,1,54.5,0,"4473228"
"Ohio St.",5,0,68,31,137,0.27,65,9,18,51,4,1,9,0,82.5,0,"4473228"
"UCLA",3,0,38,10,72,0.389,36,9,13,29,6,1,22,0,59,0,"4473230"
