"match_id","home","away","site","match_date","attendance","home_set1","home_set2","home_set3","home_set4","home_set5","away_set1","away_set2","away_set3","away_set4","away_set5","neutral_site"
"4474650","Hawaii","Grand Canyon","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","03/09/2024 12:00 AM","8422",25,25,25,NA,NA,17,20,20,NA,NA,""
"4474671","Roberts Wesleyan","Dominican (NY)","Rochester, NY","03/09/2024 12:00 PM","256",25,26,25,NA,NA,18,24,20,NA,NA,""
"4474683","American Int'l","St. Thomas Aquinas","Henry Butova Gymnasium (Springfield, MA)","03/09/2024 01:00 PM","148",20,16,21,NA,NA,25,25,25,NA,NA,""
"4474689","Kentucky St.","Benedict","Frankfort, KY","03/09/2024 02:00 PM","51",21,22,25,25,15,25,25,21,20,9,""
"4474694","Life (GA)","Lees-McRae","Laurinburg, NC","03/09/2024 02:30 PM","0",25,25,25,NA,NA,17,21,19,NA,NA,"at Laurinburg, NC"
"4474695","Lincoln Memorial","Mount Olive","Mary Mars Gym (Harrogate, TN)","03/09/2024 03:00 PM","79",22,25,22,25,NA,25,17,25,27,NA,""
"4474687","Missouri S&T","Quincy","Rolla, MO","03/09/2024 03:00 PM","77",25,19,25,25,NA,15,25,19,16,NA,""
"4474699","Central St. (OH)","Edward Waters","Wilberforce, OH","03/09/2024 03:00 PM","62",20,23,20,NA,NA,25,25,25,NA,NA,""
"4474710","George Mason","FDU","EagleBank Arena (Fairfax, VA)","03/09/2024 05:00 PM","289",23,25,25,25,NA,25,20,15,16,NA,""
"4474708","McKendree","Maryville (MO)","Melvin Price Convocation Center (Lebanon, IL)","03/09/2024 06:00 PM","123",25,25,21,25,NA,14,21,25,13,NA,""
"4474715","D'Youville","Tusculum","Buffalo, NY","03/09/2024 07:00 PM","85",22,25,25,25,NA,25,16,12,18,NA,""
"4474716","LIU","Barton","Brookville, NY","03/09/2024 07:00 PM","130",25,25,25,NA,NA,23,18,19,NA,NA,""
"4474717","St. Andrews","Lees-McRae",",","03/09/2024 07:30 PM","33",25,25,25,NA,NA,16,18,9,NA,NA,""
"4474713","Stanford","BYU","Maples Pavilion (Stanford, CA)","03/09/2024 09:00 PM","980",25,25,25,NA,NA,19,20,21,NA,NA,""
"4474714","UC Santa Barbara","Long Beach St.","Santa Barbara, CA","03/09/2024 09:00 PM","723",20,25,25,23,13,25,23,19,25,15,""
"4474720","Lincoln Memorial","Mount Olive","Mary Mars Gym (Harrogate, TN)","03/10/2024 01:00 PM","101",25,19,28,22,15,20,25,26,25,7,""
"4474727","Lewis","Grand Canyon","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","03/10/2024 07:00 PM","0",25,25,17,14,11,23,18,25,25,15,"at Honolulu, HI"
"4474725","UCLA","Ohio St.","Pauley Pavilion (Los Angeles, CA)","03/10/2024 08:00 PM","1076",25,25,25,NA,NA,23,16,20,NA,NA,""
"4474726","Hawaii","UC Irvine","SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)","03/10/2024 11:00 PM","7558",23,25,25,17,15,25,19,22,25,13,""
"4474728","Maryville (MO)","Clarke","St. Louis, MO","03/11/2024 01:00 PM","86",30,25,25,NA,NA,28,22,19,NA,NA,""
"4474729","Loyola Chicago","Princeton","Gentile arena (Chicago, IL)","03/11/2024 05:00 PM","455",25,22,25,25,NA,18,25,17,21,NA,""
"4474733","Thomas More","Edward Waters","Connor Convocation Center (Crestview Hills, KY)","03/11/2024 07:00 PM","54",25,28,25,NA,NA,15,26,14,NA,NA,""
"4474736","Saint Francis","Tusculum","Loretto, PA","03/11/2024 07:00 PM","121",25,25,25,NA,NA,15,23,22,NA,NA,""
"4474602","Roberts Wesleyan","D'Youville","Rochester, NY","03/12/2024 04:30 PM","134",16,17,25,NA,NA,25,25,27,NA,NA,""
"4474745","UC San Diego","Harvard","LionTree Arena (La Jolla, CA)","03/12/2024 10:00 PM","452",25,25,18,25,NA,21,16,25,20,NA,""
"4474760","Queens (NC)","Barton","Charlotte, NC","03/13/2024 06:00 PM","137",25,21,25,22,15,21,25,20,25,6,""
"4474771","Central St. (OH)","Thomas More","Wilberforce, OH","03/13/2024 07:00 PM","64",17,18,25,20,NA,25,25,21,25,NA,""
"4474755","CUI","Harvard","Irvine, CA","03/13/2024 08:00 PM","87",25,23,25,19,9,18,25,18,25,15,""
"4474759","UC Irvine","UC Santa Barbara","Bren Events Center (Irvine, CA)","03/13/2024 09:00 PM","843",25,25,25,NA,NA,14,22,20,NA,NA,""
"4474780","Ohio St.","Ball St.","Covelli Center (Columbus, OH)","03/14/2024 07:00 PM","649",32,25,22,24,NA,34,15,25,26,NA,""
"4474789","Roberts Wesleyan","Kentucky St.","Rochester, NY","03/14/2024 07:00 PM","101",25,17,25,25,NA,14,25,17,17,NA,""
"4474783","Loyola Chicago","Quincy","Gentile arena (Chicago, IL)","03/14/2024 08:00 PM","391",25,25,19,25,NA,18,17,25,14,NA,""
"4474784","Lewis","McKendree","Neil Carey Arena (Romeoville, IL)","03/14/2024 08:00 PM","750",25,18,25,22,11,21,25,23,25,15,""
