#,P,S,MS,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,match_id,team_name
4,MB,1,0,0,1,3,-0.333,0,0,0,0,0,0,0,0,0,0,4473120,Fort Valley St.
18,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473120,Fort Valley St.
22,OH,3,0,4,1,14,0.214,1,0,1,1,1,1,0,0,5,0,4473120,Fort Valley St.
12,OH,3,0,1,1,3,0,0,0,3,0,0,0,0,0,1,0,4473120,Fort Valley St.
21,OH,3,0,2,6,17,-0.235,0,0,0,1,1,0,0,0,2,0,4473120,Fort Valley St.
9,S,3,0,0,0,2,0,14,0,1,2,0,0,0,0,0,0,4473120,Fort Valley St.
20,L,1,0,2,1,3,0.333,4,0,0,0,0,0,0,0,2,0,4473120,Fort Valley St.
17,OPP,3,0,9,4,25,0.2,1,0,4,5,2,0,0,1,9,0,4473120,Fort Valley St.
5,OPP,3,0,5,3,11,0.182,0,0,3,0,0,0,0,1,5,0,4473120,Fort Valley St.
6,OH,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4473120,Fort Valley St.
9,S,2,0,0,1,1,-1,14,0,0,2,0,0,0,0,0,0,4473120,Southern California
15,OPP,3,0,11,2,17,0.529,0,1,2,5,0,0,0,0,12,0,4473120,Southern California
25,S,2,0,0,0,0,0,19,0,0,0,0,0,1,0,0.5,0,4473120,Southern California
12,OH,3,0,6,0,9,0.667,0,1,2,4,0,0,3,1,8.5,0,4473120,Southern California
14,OPP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473120,Southern California
1,OH,3,0,7,1,10,0.6,1,0,1,1,0,0,0,0,7,0,4473120,Southern California
5,L/DS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473120,Southern California
8,MB,3,0,5,0,9,0.556,2,4,4,2,0,1,1,0,10.5,0,4473120,Southern California
4,OH,2,0,3,1,4,0.5,0,0,0,0,0,0,1,0,3.5,0,4473120,Southern California
16,MB,3,0,6,1,9,0.556,0,0,0,5,0,1,2,0,8,0,4473120,Southern California
7,S,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0.5,0,4473120,Southern California
3,L/DS,3,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,4473120,Southern California
17,MB,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1.5,0,4473120,Southern California
11,OPP,1,0,2,0,4,0.5,1,0,0,1,0,0,0,0,2,0,4473122,Grand Canyon
1,OPP,3,0,7,3,20,0.2,1,5,3,1,0,0,1,0,12.5,0,4473122,Grand Canyon
15,L,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,4473122,Grand Canyon
10,S,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4473122,Grand Canyon
16,OH,3,0,11,3,18,0.444,2,0,2,2,2,0,0,0,11,0,4473122,Grand Canyon
22,L,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4473122,Grand Canyon
14,OH,3,0,4,1,10,0.3,0,0,2,5,1,0,2,0,5,0,4473122,Grand Canyon
2,OH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473122,Grand Canyon
7,S,3,0,1,1,4,0,26,0,1,6,0,1,1,1,2.5,0,4473122,Grand Canyon
8,MB,3,0,7,3,12,0.333,0,1,2,2,0,0,2,0,9,0,4473122,Grand Canyon
17,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473122,Grand Canyon
23,MB,3,0,4,1,6,0.5,0,0,0,1,0,1,2,0,6,0,4473122,Grand Canyon
18,S,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4473122,UC San Diego
5,L,3,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,4473122,UC San Diego
23,OPP,1,0,1,0,1,1,0,0,1,3,0,0,1,0,1.5,0,4473122,UC San Diego
13,OPP,3,0,6,5,14,0.071,0,0,1,7,0,0,0,0,6,0,4473122,UC San Diego
14,MB,3,0,5,0,7,0.714,0,0,0,0,0,2,1,0,7.5,0,4473122,UC San Diego
4,OH,2,0,5,1,8,0.5,0,0,1,6,1,0,0,0,5,0,4473122,UC San Diego
7,OH,3,0,9,4,20,0.25,1,2,4,0,2,0,2,0,12,0,4473122,UC San Diego
10,OH,3,0,3,6,16,-0.188,0,0,2,1,0,0,0,0,3,0,4473122,UC San Diego
24,MB,3,0,1,3,9,-0.222,0,0,3,1,0,1,3,0,3.5,0,4473122,UC San Diego
20,L,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4473122,UC San Diego
9,MB,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,4473122,UC San Diego
2,S,3,0,1,0,3,0.333,23,1,1,3,0,1,2,0,4,0,4473122,UC San Diego
28,OH,3,0,4,3,14,0.071,0,0,0,2,3,0,0,0,4,0,4473124,Thomas More
11,MB,3,0,1,0,8,0.125,0,0,2,0,0,0,2,2,2,0,4473124,Thomas More
4,DB,3,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,4473124,Thomas More
30,OPP,3,0,4,1,9,0.333,0,0,2,4,2,1,0,0,5,0,4473124,Thomas More
21,OH,3,0,6,2,14,0.286,1,0,1,1,1,0,1,0,6.5,0,4473124,Thomas More
2,DB,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4473124,Thomas More
15,S,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4473124,Thomas More
3,OH,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,4473124,Thomas More
25,MB,3,0,2,2,10,0,0,0,1,0,0,0,0,0,2,0,4473124,Thomas More
10,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473124,Thomas More
8,S,3,0,0,1,3,-0.333,11,0,4,4,0,0,1,1,0.5,0,4473124,Thomas More
4,OPP,3,0,14,2,21,0.571,0,3,3,3,0,0,0,0,17,0,4473124,Purdue Fort Wayne
14,OH,2,0,3,1,4,0.5,0,0,1,0,0,0,0,0,3,0,4473124,Purdue Fort Wayne
8,MB,2,0,8,2,13,0.462,1,0,2,3,0,0,0,0,8,0,4473124,Purdue Fort Wayne
2,OH,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4473124,Purdue Fort Wayne
