"Name","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE","match_id"
"Wells",4,0,37,18,114,0.167,31,1,14,31,8,1,0,0,39,0,"4473152"
"SUNY Potsdam",4,0,52,21,110,0.282,51,8,15,48,1,2,8,0,66,2,"4473152"
"Hobart",3,0,42,18,85,0.282,39,8,14,29,2,0,4,0,52,1,"4473153"
"SUNY Potsdam",3,0,15,15,62,0,15,2,7,20,8,2,6,0,22,0,"4473153"
"Regis (MA)",5,0,53,29,139,0.173,52,4,16,47,2,6,8,5,67,0,"4473154"
"American Int'l",5,0,60,28,140,0.229,59,2,21,48,4,3,12,3,71,0,"4473154"
"Wells",3,0,13,16,55,-0.055,12,0,8,14,9,3,2,0,17,0,"4473155"
"Nichols",3,0,40,14,72,0.361,38,9,14,22,0,1,6,0,53,1,"4473155"
"Nichols",4,0,44,18,108,0.241,41,5,19,40,4,3,6,0,55,0,"4473161"
"Hobart",4,0,50,23,118,0.229,49,4,22,43,5,1,6,0,58,0,"4473161"
"Hobart",4,0,45,27,121,0.149,45,9,14,49,4,0,12,0,60,1,"4473165"
"Wells",4,0,33,28,117,0.043,31,4,13,44,9,2,8,0,43,1,"4473165"
"Nichols",3,0,40,19,94,0.223,37,3,13,32,0,0,6,0,46,0,"4473167"
"SUNY Potsdam",3,0,25,22,83,0.036,24,0,7,26,3,2,4,0,29,3,"4473167"
"Lees-McRae",5,0,61,30,162,0.191,54,7,16,69,4,4,4,1,74,0,"4473176"
"Saint Vincent",5,0,53,21,153,0.209,50,4,14,62,7,11,4,0,70,0,"4473176"
"Hiram",3,0,24,11,73,0.178,19,2,22,16,6,2,6,0,31,0,"4473180"
"Mount Union",3,0,32,17,73,0.205,28,6,14,32,2,2,4,0,42,0,"4473180"
"St. John Fisher",4,0,49,14,114,0.307,43,7,19,36,7,1,9,0,61.5,0,"4473187"
"Wittenberg",4,0,44,15,111,0.261,38,7,21,35,7,1,9,0,56.5,1,"4473187"
"Dominican (IL)",3,0,28,20,76,0.105,26,4,12,23,5,3,2,0,36,0,"4473185"
"Quincy",3,0,38,14,87,0.276,34,5,13,25,4,9,2,1,53,1,"4473185"
"Springfield",3,0,25,22,69,0.043,24,3,15,13,5,1,9,3,33.5,0,"4473184"
"CUI",3,0,31,13,62,0.29,30,5,19,17,3,4,13,2,46.5,0,"4473184"
"UC Santa Cruz",3,0,28,18,74,0.135,25,1,12,20,5,1,4,0,32,0,"4473186"
"Cal Lutheran",3,0,38,11,70,0.386,35,5,16,24,1,0,13,0,49.5,0,"4473186"
"Vassar",3,0,30,11,66,0.288,29,10,15,26,6,2,7,3,45.5,1,"4473188"
"Adrian",3,0,24,17,70,0.1,24,6,17,19,10,1,0,0,31,1,"4473188"
"Eastern",4,0,42,15,111,0.243,38,5,19,45,10,3,6,0,53,0,"4473193"
"Lancaster Bible",4,0,54,20,127,0.268,52,10,26,46,5,0,10,0,69,0,"4473193"
"Nazareth",5,0,58,31,128,0.211,53,4,29,29,1,2,18,0,73,4,"4473194"
"Randolph-Macon",5,0,38,22,93,0.172,33,1,13,29,4,3,15,0,49.5,2,"4473194"
"St. Joseph's (L.I.)",4,0,58,26,149,0.215,55,3,9,60,1,3,8,2,68,1,"4473198"
"Stevens",4,0,65,20,158,0.285,59,1,15,56,3,5,16,5,79,0,"4473198"
"Misericordia",4,0,49,10,82,0.476,45,6,28,23,10,3,24,0,70,0,"4473197"
"Elmira",4,0,32,26,91,0.066,31,10,16,20,6,2,2,0,45,0,"4473197"
"Penn St.-Altoona",3,0,14,16,68,-0.029,14,2,14,20,3,2,0,0,18,0,"4473199"
"St. John Fisher",3,0,40,9,79,0.392,30,3,20,30,2,1,4,0,46,0,"4473199"
"Southern Va.",3,0,36,7,59,0.492,36,9,18,30,1,1,16,0,54,0,"4473204"
"Eastern",3,0,14,17,62,-0.048,12,1,12,14,9,0,6,0,18,0,"4473204"
"Roanoke",5,0,45,20,115,0.217,43,6,15,38,11,2,16,3,61,1,"4473205"
"Nazareth",5,0,61,28,140,0.236,57,11,21,39,6,2,14,1,81,2,"4473205"
"Mt. St. Joseph",5,0,46,36,126,0.079,45,10,18,43,7,1,8,0,61,1,"4473220"
"East. Mennonite",5,0,40,24,121,0.132,38,7,19,33,10,1,20,2,58,1,"4473220"
"SUNY Poly",3,0,28,16,81,0.148,27,3,14,30,5,2,6,0,36,1,"4473238"
"Misericordia",3,0,43,20,98,0.235,40,5,17,31,3,1,3,0,50.5,0,"4473238"
"Maranatha Baptist",3,0,12,8,54,0.074,11,1,8,20,13,2,4,1,17,1,"4473192"
"Concordia Chicago",3,0,45,13,83,0.386,37,13,13,31,1,0,2,0,59,0,"4473192"
"Penn St.-Altoona",3,0,19,15,77,0.052,13,4,13,30,10,1,6,0,27,1,"4473206"
"Wittenberg",3,0,35,13,84,0.262,28,10,22,35,4,0,10,0,50,0,"4473206"
"St. Joseph's (L.I.)",3,0,37,15,90,0.244,35,3,8,37,2,1,8,2,45,0,"4473208"
"Kean",3,0,34,24,101,0.099,32,2,9,29,3,0,16,2,44,1,"4473208"
"Southern Va.",3,0,29,16,70,0.186,29,8,11,33,3,0,14,0,44,0,"4473211"
"Lancaster Bible",3,0,26,24,85,0.024,24,3,13,23,8,1,8,0,34,0,"4473211"
"Roanoke",3,0,19,25,65,-0.092,19,3,15,17,6,1,6,0,26,0,"4473216"
"Mount Olive",3,0,25,10,58,0.259,21,6,10,19,3,0,10,0,36,0,"4473216"
"Dominican (IL)",4,0,56,26,150,0.2,52,5,11,48,4,2,12,0,69,0,"4473210"
"Fontbonne",4,0,45,14,127,0.244,44,4,15,38,5,3,8,0,56,0,"4473210"
"Vassar",3,0,36,11,76,0.329,33,2,12,29,2,3,13,3,47.5,2,"4473218"
"UC Santa Cruz",3,0,34,19,92,0.163,31,2,16,22,2,1,8,1,41,2,"4473218"
"SUNY Poly",3,0,31,12,78,0.244,29,5,12,25,9,2,2,0,39,0,"4473213"
"Elmira",3,0,44,13,89,0.348,40,9,14,33,5,1,4,0,56,0,"4473213"
"Adrian",3,0,20,16,65,0.062,19,2,15,19,7,0,4,0,24,1,"4473202"
"Cal Lutheran",3,0,34,6,66,0.424,27,7,13,27,2,1,6,0,45,0,"4473202"
"Maranatha Baptist",3,0,13,15,58,-0.034,11,2,11,16,13,0,4,2,17,1,"4492664"
"Concordia Chicago",3,0,35,19,73,0.219,32,13,6,28,2,0,16,0,56,1,"4492664"
"Kean",3,0,24,22,105,0.019,23,1,11,23,2,2,8,2,31,0,"4473222"
"Stevens",3,0,39,15,85,0.282,37,2,7,48,1,3,12,0,50,1,"4473222"
"Juniata",3,0,40,10,76,0.395,34,5,13,21,2,2,6,0,50,0,"4473219"
"Stevenson",3,0,27,17,73,0.137,25,2,10,19,5,3,6,0,35,1,"4473219"
"Averett",3,0,13,15,50,-0.04,12,5,14,23,13,0,4,0,20,4,"4473201"
"East. Mennonite",3,0,28,7,62,0.339,24,13,15,19,5,0,7,0,44.5,0,"4473201"
"Mount Olive",3,0,34,7,69,0.391,31,7,17,37,2,2,6,1,46,0,"4473223"
"Randolph-Macon",3,0,17,25,89,-0.09,16,2,9,25,7,1,2,3,21,0,"4473223"
"Mt. St. Joseph",3,0,36,8,64,0.438,32,13,13,23,0,1,6,0,53,0,"4473225"
"Averett",3,0,6,16,50,-0.2,6,0,5,17,13,1,0,0,7,3,"4473225"
"Vassar",4,0,50,21,115,0.252,47,1,16,40,3,4,8,0,59,1,"4473183"
"Cal Lutheran",4,0,54,18,121,0.298,52,3,21,35,1,2,6,0,62,1,"4473183"
"UC Santa Cruz",3,0,30,13,60,0.283,27,15,18,20,0,0,10,0,50,0,"4473233"
"Adrian",3,0,20,11,55,0.164,18,0,18,11,15,3,2,0,24,0,"4473233"
"Dominican (IL)",3,0,32,15,109,0.156,30,2,7,46,3,4,6,0,41,2,"4473235"
"Missouri S&T",3,0,48,12,116,0.31,43,3,13,49,2,1,10,0,57,2,"4473235"
"Carthage",4,0,40,16,102,0.235,38,6,12,45,9,0,12,1,52,0,"4492873"
"Lakeland",4,0,44,23,120,0.175,40,9,24,38,6,2,4,0,57,2,"4492873"
"Trine",3,0,23,17,78,0.077,21,7,6,19,8,0,6,2,33,0,"4492056"
"Ball St.",3,0,42,12,78,0.385,41,8,13,32,7,1,21,0,61.5,0,"4492056"
"Carlow",3,0,24,22,92,0.022,22,4,15,48,5,2,0,0,30,1,"4473242"
"Geneva",3,0,37,18,106,0.179,36,5,22,40,4,2,6,0,47,2,"4473242"
"Elms",3,0,12,10,53,0.038,9,7,13,18,7,1,0,1,20,4,"4473245"
"Lasell",3,0,36,4,71,0.451,28,8,28,20,7,3,0,0,47,2,"4473245"
