Team,Conference
 Georgian Court,CACC
 Bridgeport,CACC
 Post,CACC
 Chestnut Hill,CACC
 Goldey-Beacom,CACC
 Dominican (NY),CACC
 Jefferson,CACC
 Holy Family,CACC
 Wilmington (DE),CACC
 Felician,CACC
 Caldwell,CACC
 Bloomfield,CACC
 Cal Poly Pomona,CCAA
 San Fran. St.,CCAA
 Stanislaus St.,CCAA
 Cal State LA,CCAA
 CSUSB,CCAA
 Cal St. East Bay,CCAA
 Sonoma St.,CCAA
 Cal St. San Marcos,CCAA
 Chico St.,CCAA
 Cal Poly Humboldt,CCAA
 Cal St. Dom. Hills,CCAA
 Cal St. Monterey Bay,CCAA
 Shaw,CIAA
 Fayetteville St.,CIAA
 Virginia St.,CIAA
 Winston-Salem,CIAA
 Bluefield St.,CIAA
 Elizabeth City St.,CIAA
 Johnson C. Smith,CIAA
 Bowie St.,CIAA
 Virginia Union,CIAA
 Livingstone,CIAA
 Claflin,CIAA
 Lincoln (PA),CIAA
 Saint Augustine's,CIAA
 Mount Olive,Conference Carolinas
 Converse,Conference Carolinas
 Emmanuel (GA),Conference Carolinas
 North Greenville,Conference Carolinas
 Francis Marion,Conference Carolinas
 Shorter,Conference Carolinas
 UNC Pembroke,Conference Carolinas
 King (TN),Conference Carolinas
 Southern Wesleyan,Conference Carolinas
 Lees-McRae,Conference Carolinas
 Barton,Conference Carolinas
 Young Harris,Conference Carolinas
 Belmont Abbey,Conference Carolinas
 Erskine,Conference Carolinas
 Chowan,Conference Carolinas
 Texas-Dallas,DII Independent
 Salem (WV),DII Independent
 Daemen,ECC
 Queens (NY),ECC
 Mercy,ECC
 Molloy,ECC
 Roberts Wesleyan,ECC
 D'Youville,ECC
 St. Thomas Aquinas,ECC
 Southwestern Okla.,GAC
 Harding,GAC
 Ouachita Baptist,GAC
 East Central,GAC
 Okla. Baptist,GAC
 Henderson St.,GAC
 Southern Ark.,GAC
 Southeastern Okla.,GAC
 Northwestern Okla.,GAC
 Arkansas Tech,GAC
 Southern Nazarene,GAC
 Ark.-Monticello,GAC
 Ferris St.,GLIAC
 Grand Valley St.,GLIAC
 Northern Mich.,GLIAC
 Michigan Tech,GLIAC
 Wayne St. (MI),GLIAC
 Wis.-Parkside,GLIAC
 Davenport,GLIAC
 Purdue Northwest,GLIAC
 Lake Superior St.,GLIAC
 Saginaw Valley,GLIAC
 Quincy,GLVC
 Rockhurst,GLVC
 Mo.-St. Louis,GLVC
 Lewis,GLVC
 Ill. Springfield,GLVC
 UIndy,GLVC
 Maryville (MO),GLVC
 Drury,GLVC
 Southwest Baptist,GLVC
 McKendree,GLVC
 Upper Iowa,GLVC
 Missouri S&T,GLVC
 William Jewell,GLVC
 Truman St.,GLVC
 Hillsdale,G-MAC
 Findlay,G-MAC
 Northwood,G-MAC
 Ashland,G-MAC
 Walsh,G-MAC
 Cedarville,G-MAC
 Ohio Dominican,G-MAC
 Tiffin,G-MAC
 Lake Erie,G-MAC
 Malone,G-MAC
 Ursuline,G-MAC
Thomas More,G-MAC
 Ky. Wesleyan,G-MAC
 Alas. Fairbanks,Great Northwest
 Central Wash.,Great Northwest
 Simon Fraser,Great Northwest
 Alas. Anchorage,Great Northwest
 Western Ore.,Great Northwest
 Western Wash.,Great Northwest
 Seattle Pacific,Great Northwest
 Northwest Nazarene,Great Northwest
 Mont. St. Billings,Great Northwest
 Saint Martin's,Great Northwest
 West Florida,Gulf South
 Alabama Huntsville,Gulf South
 Valdosta St.,Gulf South
 Lee,Gulf South
 Mississippi Col.,Gulf South
 Trevecca Nazarene,Gulf South
 Montevallo,Gulf South
 AUM,Gulf South
 Union (TN),Gulf South
 Christian Brothers,Gulf South
 West Ala.,Gulf South
 Angelo St.,Lone Star
