Team,Conference
 Saint Francis,NEC
 LIU,NEC
 Stonehill,NEC
 Mercyhurst,NEC
 Le Moyne,NEC
 Central Conn. St.,NEC
 Tennessee Tech,OVC
 Lindenwood,OVC
 Southeast Mo. St.,OVC
 Western Ill.,OVC
 Morehead St.,OVC
 Little Rock,OVC
 SIUE,OVC
 Eastern Ill.,OVC
 Tennessee St.,OVC
 Southern Ind.,OVC
 UT Martin,OVC
 Bucknell,Patriot
 American,Patriot
 Colgate,Patriot
 Army West Point,Patriot
 Lehigh,Patriot
 Loyola Maryland,Patriot
 Lafayette,Patriot
 Navy,Patriot
 Holy Cross,Patriot
 Florida,SEC
 Kentucky,SEC
 Texas,SEC
 Texas A&M,SEC
 Missouri,SEC
 Ole Miss,SEC
 Oklahoma,SEC
 Arkansas,SEC
 South Carolina,SEC
 LSU,SEC
 Tennessee,SEC
 Auburn,SEC
 Georgia,SEC
 Mississippi St.,SEC
 Alabama,SEC
 Vanderbilt,SEC
 Mercer,SoCon
 Wofford,SoCon
 ETSU,SoCon
 Samford,SoCon
 Chattanooga,SoCon
 The Citadel,SoCon
 Furman,SoCon
 Western Caro.,SoCon
 UNC Greensboro,SoCon
 Southeastern La.,Southland
 SFA,Southland
 A&M-Corpus Christi,Southland
 UIW,Southland
 UTRGV,Southland
 Lamar University,Southland
 Houston Christian,Southland
 McNeese,Southland
 East Texas A&M,Southland
 Northwestern St.,Southland
 Nicholls,Southland
Tex. A&M-Commerce,Southland
 New Orleans,Southland
 South Dakota St.,Summit League
 South Dakota,Summit League
 St. Thomas (MN),Summit League
 Omaha,Summit League
 Denver,Summit League
 North Dakota St.,Summit League
 North Dakota,Summit League
 Kansas City,Summit League
 Oral Roberts,Summit League
 Arkansas St.,Sun Belt
 Ga. Southern,Sun Belt
 Texas St.,Sun Belt
 App State,Sun Belt
 Old Dominion,Sun Belt
 Georgia St.,Sun Belt
 South Alabama,Sun Belt
 Marshall,Sun Belt
 Troy,Sun Belt
 Coastal Carolina,Sun Belt
 James Madison,Sun Belt
 Louisiana,Sun Belt
 Southern Miss.,Sun Belt
 ULM,Sun Belt
 Florida A&M,SWAC
 Jackson St.,SWAC
 Bethune-Cookman,SWAC
 Prairie View,SWAC
 Alabama St.,SWAC
 Grambling,SWAC
 Texas Southern,SWAC
 Southern U.,SWAC
 Alabama A&M,SWAC
 Mississippi Val.,SWAC
 Ark.-Pine Bluff,SWAC
 Alcorn,SWAC
 Rice,The American
 East Carolina,The American
 South Fla.,The American
 Tulsa,The American
 Fla. Atlantic,The American
 Wichita St.,The American
 Tulane,The American
 Temple,The American
 Memphis,The American
 UAB,The American
 UTSA,The American
 North Texas,The American
 Charlotte,The American
 UT Arlington,WAC
 Utah Valley,WAC
 Grand Canyon,WAC
 Utah Tech,WAC
 Abilene Christian,WAC
 Southern Utah,WAC
 Seattle U,WAC
 California Baptist,WAC
 Tarleton St.,WAC
 LMU (CA),WCC
 San Diego,WCC
 Pepperdine,WCC
 Pacific,WCC
 Washington St.,WCC
 San Francisco,WCC
 Portland,WCC
 Santa Clara,WCC
 Saint Mary's (CA),WCC
 Oregon St.,WCC
 Gonzaga,WCC
