Team,Conference
 Long Beach St.,Big West
 Hawaii,Big West
 UC Irvine,Big West
 CSUN,Big West
 UC San Diego,Big West
 UC Santa Barbara,Big West
 Belmont Abbey,Conference Carolinas
 Mount Olive,Conference Carolinas
 North Greenville,Conference Carolinas
 Erskine,Conference Carolinas
 Barton,Conference Carolinas
 Emmanuel (GA),Conference Carolinas
 King (TN),Conference Carolinas
 Lees-McRae,Conference Carolinas
 Lincoln Memorial,DI Independent
 Maryville (MO),DI Independent
 Missouri S&T,DI Independent
 Tusculum,DI Independent
 Dominican (NY),ECC
 St. Thomas Aquinas,ECC
 Roberts Wesleyan,ECC
 American Int'l,ECC
 Penn St.,EIVA
 George Mason,EIVA
 Princeton,EIVA
 Harvard,EIVA
 Charleston (WV),EIVA
 NJIT,EIVA
 Ohio St.,MIVA
 Ball St.,MIVA
 Loyola Chicago,MIVA
 Lindenwood,MIVA
 Purdue Fort Wayne,MIVA
 McKendree,MIVA
 Lewis,MIVA
 Queens (NC),MIVA
 Quincy,MIVA
 UCLA,MPSF
 Grand Canyon,MPSF
 BYU,MPSF
 Pepperdine,MPSF
 Stanford,MPSF
 Southern California,MPSF
 CUI,MPSF
 Daemen,NEC
Saint Francis,NEC
 LIU,NEC
 FDU,NEC
 D'Youville,NEC
 Sacred Heart,NEC
 Merrimack,NEC
 Fort Valley St.,SIAC
 Kentucky St.,SIAC
 Central St. (OH),SIAC
 Benedict,SIAC
Edward Waters,SIAC
 Morehouse,SIAC
