Team,Conference
 Southern Va.,CVC
 NYU,UVC
 Messiah,Middle Atlantic
 Juniata,CVC
 Carthage,CCIW
 Aurora,NACC
 Springfield,DIII Independent
 Stevens,Middle Atlantic
 Cal Lutheran,DIII Independent
 Wentworth,Great Northeast
 Loras,CCIW
 Vassar,UVC
 Thiel,PAC
 Lasell,Great Northeast
 Lancaster Bible,United East
 St. John Fisher,UVC
 St. Joseph's (L.I.),Skyline
 Rutgers-Newark,CVC
 Wis.-Stevens Point,DIII Independent
 UC Santa Cruz,DIII Independent
 New Jersey City,Skyline
 SUNY Potsdam,NEVC
 Hobart,UVC
 Mount Union,MCVL
 Randolph-Macon,ODAC
 North Central (IL),CCIW
 Elmira,UVC
 Misericordia,Middle Atlantic
 Roanoke,ODAC
 Wittenberg,MCVL
 John Jay,CUNYAC
 Baldwin Wallace,MCVL
 Nazareth,UVC
 Ramapo,Skyline
 Va. Wesleyan,ODAC
 Regis (MA),Great Northeast
 Trine,MCVL
 Buffalo St.,AMCC
 Wabash,MCVL
 Lehman,CUNYAC
 Benedictine (IL),NACC
 Emmanuel (MA),Great Northeast
 Elizabethtown,CVC
 Stevenson,Middle Atlantic
 Hunter,CUNYAC
 Baruch,CUNYAC
 Hiram,PAC
 Nichols,NEVC
 Westminster (MO),DIII Independent
 SUNY Poly,NEVC
 Widener,Middle Atlantic
 Dominican (IL),NACC
 Cairn,United East
 Endicott,NEVC
 MSOE,NACC
 Neumann,United East
 Eastern,Middle Atlantic
 MIT,UVC
 Kean,CVC
 Wilson,United East
 Penn St.-Altoona,AMCC
 Purchase,Skyline
 Valley Forge,United East
 Ill. Wesleyan,CCIW
 SUNY New Paltz,UVC
 East. Mennonite,ODAC
 Sarah Lawrence,Skyline
 Manhattanville,Skyline
 Grove City,PAC
 Marian (WI),NACC
 Augustana (IL),CCIW
 Saint Vincent,PAC
 Hilbert,AMCC
 Brooklyn,CUNYAC
 Penn St.-Behrend,AMCC
 Randolph,ODAC
 Concordia Chicago,NACC
 King's (PA),Middle Atlantic
 Mt. St. Joseph,MCVL
 Bard,NEVC
 Edgewood,NACC
 Geneva,PAC
 St. Norbert,NACC
 Rivier,Great Northeast
 IIT,NACC
 Marymount (VA),CVC
 Lynchburg,ODAC
 North Park,CCIW
 Mount Aloysius,AMCC
 Emerson,Great Northeast
 Arcadia,Middle Atlantic
 Immaculata,DIII Independent
 Chatham,PAC
 Bryn Athyn,United East
 Wis. Lutheran,NACC
 VTSU-Johnson,NEVC
 York (NY),CUNYAC
 Concordia Wisconsin,NACC
 Pratt,United East
 Lakeland,NACC
 Saint Elizabeth,United East
 Russell Sage,NEVC
 Calvin,MCVL
 Wilkes,CVC
 St. Joseph's (Brkln),Skyline
 Adrian,MCVL
 Old Westbury,Skyline
 Gallaudet,United East
 Rockford,NACC
 UMSV,Skyline
 Curry,DIII Independent
 Hood,Middle Atlantic
 Elms,Great Northeast
 Drew,CVC
 Franklin,DIII Independent
 CCNY,CUNYAC
 Olivet,MCVL
 Greenville,DIII Independent
 Dean,Great Northeast
 Houghton,AMCC
 Averett,ODAC
 Simpson,DIII Independent
 Bethany (WV),PAC
 Yeshiva,Skyline
 Maranatha Baptist,DIII Independent
 Medgar Evers,CUNYAC
 Carlow,AMCC
 Warren Wilson,DIII Independent
