Team,Conference
 Albion,Michigan Intercol. Ath. Assn.
 Alma,Michigan Intercol. Ath. Assn.
 Grinnell,MWC
 Monmouth (IL),MWC
 Cornell College,MWC
 Illinois Col.,MWC
 Ripon,MWC
 Lawrence,MWC
 Beloit,MWC
 Lake Forest,MWC
 Knox,MWC
 Edgewood,NACC
 Concordia Wisconsin,NACC
 Aurora,NACC
 St. Norbert,NACC
 IIT,NACC
 Dominican (IL),NACC
 Benedictine (IL),NACC
 Concordia Chicago,NACC
 Rockford,NACC
 MSOE,NACC
 Wis. Lutheran,NACC
 Marian (WI),NACC
 Lakeland,NACC
 Alverno,NACC
 Wittenberg,NCAC
 DePauw,NCAC
 Ohio Wesleyan,NCAC
 Denison,NCAC
 Wooster,NCAC
 Hiram,NCAC
 Kenyon,NCAC
 Oberlin,NCAC
 Colby,NESCAC
 Trinity (CT),NESCAC
 Connecticut Col.,NESCAC
 Middlebury,NESCAC
 Bowdoin,NESCAC
 Wesleyan (CT),NESCAC
 Tufts,NESCAC
 Williams,NESCAC
 Amherst,NESCAC
 Bates,NESCAC
 Hamilton,NESCAC
 MIT,NEWMAC
 Smith,NEWMAC
 Babson,NEWMAC
 Springfield,NEWMAC
 Coast Guard,NEWMAC
 Wellesley,NEWMAC
 Clark (MA),NEWMAC
 Mount Holyoke,NEWMAC
 Emerson,NEWMAC
 Wheaton (MA),NEWMAC
 Salve Regina,NEWMAC
 WPI,NEWMAC
 Stockton,NJAC
 Montclair St.,NJAC
 Wm. Paterson,NJAC
 Kean,NJAC
 Rowan,NJAC
 Rutgers-Newark,NJAC
 New Jersey City,NJAC
 Rutgers-Camden,NJAC
 Ramapo,NJAC
 Maine Maritime,North Atlantic
 SUNY Delhi,North Atlantic
 Me.-Presque Isle,North Atlantic
 Husson,North Atlantic
 VTSU-Johnson,North Atlantic
 Thomas (ME),North Atlantic
 SUNY Cobleskill,North Atlantic
 VTSU Lyndon,North Atlantic
 Lesley,North Atlantic
 Whitworth,NWC
 Pacific Lutheran,NWC
 Puget Sound,NWC
 George Fox,NWC
 Pacific (OR),NWC
 Linfield,NWC
 Willamette,NWC
 Whitman,NWC
 Lewis & Clark,NWC
 Marietta,OAC
 Otterbein,OAC
 Ohio Northern,OAC
 John Carroll,OAC
 Mount Union,OAC
 Muskingum,OAC
 Baldwin Wallace,OAC
 Heidelberg,OAC
 Capital,OAC
 Wilmington (OH),OAC
 Wash. & Lee,ODAC
 Va. Wesleyan,ODAC
 Bridgewater (VA),ODAC
 Lynchburg,ODAC
 Roanoke,ODAC
 Randolph,ODAC
 Guilford,ODAC
 Shenandoah,ODAC
 Randolph-Macon,ODAC
 Averett,ODAC
 East. Mennonite,ODAC
 Ferrum,ODAC
 Hollins,ODAC
 Allegheny,PAC
 Thiel,PAC
 Westminster (PA),PAC
 Saint Vincent,PAC
 Wash. & Jeff.,PAC
 Franciscan,PAC
 Grove City,PAC
 Chatham,PAC
 Geneva,PAC
 Waynesburg,PAC
 Bethany (WV),PAC
 Millsaps,SAA
 Centre,SAA
 Berry,SAA
 Rhodes,SAA
 Oglethorpe,SAA
 Hendrix,SAA
 Sewanee,SAA
 Southwestern (TX),SCAC
 Trinity (TX),SCAC
 Texas Lutheran,SCAC
 Colorado Col.,SCAC
 Austin,SCAC
 McMurry,SCAC
 St. Thomas (TX),SCAC
 Schreiner,SCAC
 Concordia (TX),SCAC
 Dallas,SCAC
 Centenary (LA),SCAC
 La Verne,SCIAC
 Claremont-M-S,SCIAC
 Whittier,SCIAC
 Pomona-Pitzer,SCIAC
 Cal Lutheran,SCIAC
 Redlands,SCIAC
 Chapman,SCIAC
 Caltech,SCIAC
 Occidental,SCIAC
 Merchant Marine,Skyline
 Manhattanville,Skyline
 Farmingdale St.,Skyline
 Sarah Lawrence,Skyline
 St. Joseph's (L.I.),Skyline
 St. Joseph's (Brkln),Skyline
 Mt. St. Mary (NY),Skyline
 Purchase,Skyline
 Old Westbury,Skyline
 SUNY Maritime,Skyline
 UMSV,Skyline
 Yeshiva,Skyline
 Greenville,SLIAC
 Fontbonne,SLIAC
 Westminster (MO),SLIAC
 Webster,SLIAC
 Spalding,SLIAC
 Blackburn,SLIAC
 MUW,SLIAC
 Eureka,SLIAC
 Principia,SLIAC
 Cortland,SUNYAC
 Buffalo St.,SUNYAC
 SUNY Potsdam,SUNYAC
 SUNY Morrisville,SUNYAC
 SUNY New Paltz,SUNYAC
 Oswego St.,SUNYAC
 Fredonia,SUNYAC
 SUNY Canton,SUNYAC
 SUNY Oneonta,SUNYAC
 Plattsburgh St.,SUNYAC
 Emory,UAA
 WashU,UAA
 CWRU,UAA
 UChicago,UAA
 NYU,UAA
 Carnegie Mellon,UAA
 Brandeis,UAA
 Rochester (NY),UAA
 Wis.-Superior,UMAC
 Northwestern-St. Paul,UMAC
 North Central (MN),UMAC
 Minn.-Morris,UMAC
 Bethany Lutheran,UMAC
 Crown (MN),UMAC
 Martin Luther,UMAC
 Northland,UMAC
 Gallaudet,United East
 Penn St.-Abington,United East
 Lancaster Bible,United East
 Keystone,United East
 Cairn,United East
 Penn St. Harrisburg,United East
 Notre Dame (MD),United East
 St. Mary's (MD),United East
 Saint Elizabeth,United East
 Cedar Crest,United East
 Penn St.-Berks,United East
 Bryn Athyn,United East
 Wilson,United East
 Penn College,United East
Penn St. Brandywine,United East
 Valley Forge,United East
 Rosemont,United East
 Salem (NC),USA South
 Methodist,USA South
 Greensboro,USA South
 Southern Va.,USA South
 Meredith,USA South
 William Peace,USA South
 Brevard,USA South
 N.C. Wesleyan,USA South
 Pfeiffer,USA South
 Mary Baldwin,USA South
 Wis.-Whitewater,WIAC
 Wis.-Oshkosh,WIAC
 Wis.-Platteville,WIAC
 Wis.-Eau Claire,WIAC
 Wis.-Stevens Point,WIAC
 Wis.-Stout,WIAC
 UW-River Falls,WIAC
 Wis.-La Crosse,WIAC
