Team,Conference
 Alfred St.,AMCC
 Penn St.-Altoona,AMCC
 La Roche,AMCC
 Mount Aloysius,AMCC
 Penn St.-Behrend,AMCC
 Pitt.-Bradford,AMCC
 Hilbert,AMCC
 Pitt.-Greensburg,AMCC
 Coe,American Rivers
 Dubuque,American Rivers
 Neb. Wesleyan,American Rivers
 Central (IA),American Rivers
 Wartburg,American Rivers
 Loras,American Rivers
 Simpson,American Rivers
 Buena Vista,American Rivers
 Luther,American Rivers
 East Tex. Baptist,ASC
 Mary Hardin-Baylor,ASC
 Hardin-Simmons,ASC
 Howard Payne,ASC
 LeTourneau,ASC
 Gwynedd Mercy,Atlantic East
 Neumann,Atlantic East
 Marymount (VA),Atlantic East
 Pratt,Atlantic East
 Marywood,Atlantic East
 Immaculata,Atlantic East
 Centenary (NJ),Atlantic East
 Salisbury,C2C
 Chris. Newport,C2C
 UC Santa Cruz,C2C
 Mary Washington,C2C
 Warren Wilson,C2C
 Mount Mary,C2C
 Millikin,CCIW
 North Central (IL),CCIW
 Ill. Wesleyan,CCIW
 Carthage,CCIW
 Carroll (WI),CCIW
 Elmhurst,CCIW
 Wheaton (IL),CCIW
 North Park,CCIW
 Augustana (IL),CCIW
 Asbury,CCS
 Maryville (TN),CCS
 Covenant,CCS
 Huntingdon,CCS
 Belhaven,CCS
 LaGrange,CCS
 Piedmont,CCS
 Agnes Scott,CCS
Bob Jones,CCS
 Wesleyan (GA),CCS
 Johns Hopkins,Centennial
 Gettysburg,Centennial
 Franklin & Marshall,Centennial
 Swarthmore,Centennial
 Ursinus,Centennial
 Dickinson,Centennial
 Washington Col.,Centennial
 Haverford,Centennial
 McDaniel,Centennial
 Muhlenberg,Centennial
 Bryn Mawr,Centennial
 Suffolk,CNE
 Endicott,CNE
 U New England,CNE
 Western New Eng.,CNE
 Wentworth,CNE
 Roger Williams,CNE
 Hartford,CNE
 Gordon,CNE
 Nichols,CNE
 Curry,CNE
 John Jay,CUNYAC
 Hunter,CUNYAC
 Brooklyn,CUNYAC
 Baruch,CUNYAC
 Lehman,CUNYAC
 CCNY,CUNYAC
 York (NY),CUNYAC
 Medgar Evers,CUNYAC
 Maranatha Baptist,DIII Independent
 Trinity Washington,DIII Independent
 Hartwick,Empire 8
 St. John Fisher,Empire 8
 SUNY Brockport,Empire 8
 Alfred,Empire 8
 Nazareth,Empire 8
 Russell Sage,Empire 8
 Houghton,Empire 8
 Utica,Empire 8
 SUNY Geneseo,Empire 8
 Keuka,Empire 8
 Elmira,Empire 8
 SUNY Poly,Empire 8
 Lasell,Great Northeast
 Emmanuel (MA),Great Northeast
 Regis (MA),Great Northeast
 JWU (Providence),Great Northeast
 Colby-Sawyer,Great Northeast
 Simmons,Great Northeast
 Rivier,Great Northeast
 St. Joseph's (ME),Great Northeast
 Albertus Magnus,Great Northeast
 Dean,Great Northeast
 Mitchell,Great Northeast
 New England Col.,Great Northeast
 Saint Joseph (CT),Great Northeast
 Elms,Great Northeast
 Norwich,Great Northeast
 Anna Maria,Great Northeast
 Transylvania,HCAC
 Hanover,HCAC
 Anderson (IN),HCAC
 Manchester,HCAC
 Bluffton,HCAC
 Mt. St. Joseph,HCAC
 Earlham,HCAC
 Rose-Hulman,HCAC
 Franklin,HCAC
 Berea,HCAC
 Juniata,Landmark
 Susquehanna,Landmark
 Elizabethtown,Landmark
 Moravian,Landmark
 Scranton,Landmark
 Catholic,Landmark
 Lycoming,Landmark
 Drew,Landmark
 Wilkes,Landmark
 Goucher,Landmark
 Ithaca,Liberty League
 William Smith,Liberty League
 Union (NY),Liberty League
 RIT,Liberty League
 Clarkson,Liberty League
 Skidmore,Liberty League
 Vassar,Liberty League
 St. Lawrence,Liberty League
 Bard,Liberty League
 Plymouth St.,Little East
 UMass Dartmouth,Little East
 UMass Boston,Little East
 Rhode Island Col.,Little East
 WestConn,Little East
 Eastern Conn. St.,Little East
 Keene St.,Little East
 VTSU Castleton,Little East
 Southern Me.,Little East
 Messiah,MAC Commonwealth
 Albright,MAC Commonwealth
 Eastern,MAC Commonwealth
 Widener,MAC Commonwealth
 Alvernia,MAC Commonwealth
 Stevenson,MAC Commonwealth
 Hood,MAC Commonwealth
 York (PA),MAC Commonwealth
 Stevens,MAC Freedom
 Misericordia,MAC Freedom
 King's (PA),MAC Freedom
 Lebanon Valley,MAC Freedom
 Arcadia,MAC Freedom
 DeSales,MAC Freedom
 FDU-Florham,MAC Freedom
 Delaware Valley,MAC Freedom
 Bridgewater St.,MASCAC
 Westfield St.,MASCAC
 Framingham St.,MASCAC
 MCLA,MASCAC
 Worcester St.,MASCAC
 Fitchburg St.,MASCAC
 Mass. Maritime,MASCAC
 Salem St.,MASCAC
 Bethel (MN),MIAC
 St. Catherine,MIAC
 Gustavus Adolphus,MIAC
 St. Olaf,MIAC
 Saint Benedict,MIAC
 Augsburg,MIAC
 Carleton,MIAC
 Macalester,MIAC
 St. Scholastica,MIAC
 Hamline,MIAC
 Saint Mary's (MN),MIAC
 Concordia-M'head,MIAC
 Hope,Michigan Intercol. Ath. Assn.
 Trine,Michigan Intercol. Ath. Assn.
 Calvin,Michigan Intercol. Ath. Assn.
 Olivet,Michigan Intercol. Ath. Assn.
 St. Mary's (IN),Michigan Intercol. Ath. Assn.
 Adrian,Michigan Intercol. Ath. Assn.
 Kalamazoo,Michigan Intercol. Ath. Assn.
