Team,Conference
 Lincoln Memorial,DI Independent
 Long Beach St.,Big West
 Loyola Chicago,MIVA
 Hawaii,Big West
 Mount Olive,Conference Carolinas
 UCLA,MPSF
 UC Irvine,Big West
 Southern California,MPSF
 Merrimack,DI Independent
 McKendree,MIVA
 Lewis,MIVA
 Pepperdine,MPSF
 Belmont Abbey,Conference Carolinas
 Maryville (MO),DI Independent
 BYU,MPSF
 LIU,NEC
 Grand Canyon,MPSF
 Fort Valley St.,SIAC
 St. Thomas Aquinas,ECC
 Rockhurst,DI Independent
 CSUN,Big West
 Ohio St.,MIVA
 UC San Diego,Big West
 Princeton,EIVA
 Ball St.,MIVA
 George Mason,EIVA
 Barton,Conference Carolinas
 Tusculum,DI Independent
 Daemen,NEC
 Benedict,SIAC
 Catawba,DI Independent
 NJIT,EIVA
 Menlo,MPSF
 Saint Francis,NEC
 Penn St.,EIVA
 Stanford,MPSF
 North Greenville,Conference Carolinas
 Missouri S&T,DI Independent
 UC Santa Barbara,Big West
 Purdue Fort Wayne,MIVA
 Barry,DI Independent
 Edward Waters,SIAC
 FDU,NEC
 Charleston (WV),EIVA
 Lindenwood,MIVA
 Harvard,EIVA
 Erskine,Conference Carolinas
 Roberts Wesleyan,ECC
 Thomas More,DI Independent
 CUI,MPSF
 Queens (NC),MIVA
 Central St. (OH),SIAC
 Vanguard,MPSF
 D'Youville,NEC
 Quincy,MIVA
 Sacred Heart,EIVA
 Roosevelt,DI Independent
 Dominican (NY),ECC
 Morehouse,SIAC
 American Int'l,ECC
 King (TN),Conference Carolinas
 Emmanuel (GA),Conference Carolinas
 Lees-McRae,Conference Carolinas
 LeMoyne-Owen,SIAC
 Kentucky St.,SIAC
