Team,Conference
 Shepherd,PSAC
 West Chester,PSAC
 Lock Haven,PSAC
 Seton Hill,PSAC
 Kutztown,PSAC
 Bloomsburg,PSAC
 Millersville,PSAC
 California (PA),PSAC
 Mercyhurst,PSAC
 Colorado Mesa,RMAC
 MSU Denver,RMAC
 Regis (CO),RMAC
 South Dakota Mines,RMAC
 Chadron St.,RMAC
 Colo. Sch. of Mines,RMAC
 Fort Lewis,RMAC
 CSU Pueblo,RMAC
 Colo. Christian,RMAC
 Westminster (UT),RMAC
 Adams St.,RMAC
 UC-Colo. Springs,RMAC
 Western Colo.,RMAC
 Black Hills St.,RMAC
 N.M. Highlands,RMAC
 Wingate,SAC
 Anderson (SC),SAC
 Tusculum,SAC
 Lenoir-Rhyne,SAC
 Mars Hill,SAC
 Catawba,SAC
 Limestone,SAC
 Carson-Newman,SAC
 Lincoln Memorial,SAC
 Emory & Henry,SAC
 UVA Wise,SAC
 Newberry,SAC
 Coker,SAC
 Spring Hill,SIAC
 Clark Atlanta,SIAC
 Benedict,SIAC
 Albany St. (GA),SIAC
 Savannah St.,SIAC
 Miles,SIAC
 Fort Valley St.,SIAC
 Tuskegee,SIAC
 Lane,SIAC
 LeMoyne-Owen,SIAC
Allen,SIAC
Edward Waters,SIAC
 Central St. (OH),SIAC
 Kentucky St.,SIAC
 Tampa,Sunshine State
 Lynn,Sunshine State
 Eckerd,Sunshine State
 Embry-Riddle (FL),Sunshine State
 Fla. Southern,Sunshine State
 Nova Southeastern,Sunshine State
 Rollins,Sunshine State
 Palm Beach Atl.,Sunshine State
 Barry,Sunshine State
 Saint Leo,Sunshine State
 Florida Tech,Sunshine State
