Team,Conference
 Alabama St.,SWAC
 Alcorn,SWAC
 Ark.-Pine Bluff,SWAC
 Bethune-Cookman,SWAC
 Florida A&M,SWAC
 Grambling,SWAC
 Jackson St.,SWAC
 Mississippi Val.,SWAC
 Prairie View,SWAC
 Southern U.,SWAC
 Texas Southern,SWAC
 Charlotte,The American
 East Carolina,The American
 Fla. Atlantic,The American
 Memphis,The American
 North Texas,The American
 Rice,The American
 SMU,The American
 South Fla.,The American
 Temple,The American
 Tulane,The American
 Tulsa,The American
 UAB,The American
 UTSA,The American
 Wichita St.,The American
 Abilene Christian,WAC
 California Baptist,WAC
 Grand Canyon,WAC
 Seattle U,WAC
 SFA,WAC
 Southern Utah,WAC
 Tarleton St.,WAC
 UT Arlington,WAC
 Utah Tech,WAC
 Utah Valley,WAC
 UTRGV,WAC
 Gonzaga,WCC
 LMU (CA),WCC
 Pacific,WCC
 Pepperdine,WCC
 Portland,WCC
 Saint Mary's (CA),WCC
 San Diego,WCC
 San Francisco,WCC
 Santa Clara,WCC
