Team,Conference
 Penn St.-Behrend,AMCC
 Alfred St.,AMCC
 Penn St.-Altoona,AMCC
 La Roche,AMCC
 Wells,AMCC
 Mount Aloysius,AMCC
 Hilbert,AMCC
 Pitt.-Greensburg,AMCC
 Pitt.-Bradford,AMCC
 Neb. Wesleyan,American Rivers
 Dubuque,American Rivers
 Central (IA),American Rivers
 Coe,American Rivers
 Loras,American Rivers
 Wartburg,American Rivers
 Simpson,American Rivers
 Luther,American Rivers
 Buena Vista,American Rivers
 Mary Hardin-Baylor,ASC
 East Tex. Baptist,ASC
 LeTourneau,ASC
 Texas-Dallas,ASC
 Hardin-Simmons,ASC
 Howard Payne,ASC
 Sul Ross St.,ASC
 Concordia (TX),ASC
 McMurry,ASC
 Neumann,Atlantic East
 Marymount (VA),Atlantic East
 Centenary (NJ),Atlantic East
 Immaculata,Atlantic East
 Gwynedd Mercy,Atlantic East
 Marywood,Atlantic East
 Mary Washington,C2C
 Salisbury,C2C
 Chris. Newport,C2C
 Pratt,C2C
 UC Santa Cruz,C2C
 Mount Mary,C2C
 North Park,CCIW
 Augustana (IL),CCIW
 Millikin,CCIW
 North Central (IL),CCIW
 Elmhurst,CCIW
 Carthage,CCIW
 Ill. Wesleyan,CCIW
 Carroll (WI),CCIW
 Wheaton (IL),CCIW
 Covenant,CCS
Asbury,CCS
Bob Jones,CCS
 Maryville (TN),CCS
 Berea,CCS
 Piedmont,CCS
 Huntingdon,CCS
 Belhaven,CCS
 LaGrange,CCS
 Wesleyan (GA),CCS
 Agnes Scott,CCS
 Johns Hopkins,Centennial
 Gettysburg,Centennial
 Franklin & Marshall,Centennial
 Swarthmore,Centennial
 Muhlenberg,Centennial
 McDaniel,Centennial
 Ursinus,Centennial
 Haverford,Centennial
 Dickinson,Centennial
 Washington Col.,Centennial
 Bryn Mawr,Centennial
 Wentworth,CNE
 U New England,CNE
 Nichols,CNE
 Gordon,CNE
 Suffolk,CNE
 Endicott,CNE
 Western New Eng.,CNE
 Roger Williams,CNE
 Hartford,CNE
 Curry,CNE
 Hunter,CUNYAC
 John Jay,CUNYAC
 Brooklyn,CUNYAC
 Baruch,CUNYAC
 CCNY,CUNYAC
 York (NY),CUNYAC
 Lehman,CUNYAC
 Medgar Evers,CUNYAC
 Maranatha Baptist,DIII Independent
Warren Wilson,DIII Independent
 Trinity Washington,DIII Independent
 Keuka,Empire 8
 St. John Fisher,Empire 8
 Hartwick,Empire 8
